Colony,Distance,Mass,Headwidth,Headwidth (mm),Size class
7.000,10.000,87.000,38.000,1.600,35-39
7.000,10.000,119.000,41.000,1.726,40-43
8.000,1.000,71.000,36.000,1.516,35-39
8.000,1.000,127.000,43.000,1.811,40-43
8.000,1.000,110.000,45.000,1.895,>43
8.000,1.000,80.000,35.000,1.474,35-39
8.000,1.000,36.000,28.000,1.179,<30
8.000,1.000,44.000,33.000,1.389,30-34
8.000,1.000,113.000,44.000,1.853,>43
8.000,1.000,77.000,38.000,1.600,35-39
8.000,1.000,102.000,46.000,1.937,>43
8.000,1.000,86.000,44.000,1.853,>43
8.000,1.000,108.000,43.000,1.811,40-43
8.000,1.000,118.000,43.000,1.811,40-43
8.000,1.000,102.000,44.000,1.853,>43
8.000,1.000,59.000,40.000,1.684,40-43
8.000,1.000,75.000,44.000,1.853,>43
8.000,1.000,80.000,40.000,1.684,40-43
8.000,1.000,102.000,44.000,1.853,>43
8.000,1.000,117.000,44.000,1.853,>43
8.000,1.000,54.000,33.000,1.389,30-34
8.000,1.000,99.000,44.000,1.853,>43
8.000,4.000,88.000,44.000,1.853,>43
8.000,4.000,56.000,36.000,1.516,35-39
8.000,4.000,108.000,41.000,1.726,40-43
8.000,4.000,98.000,41.000,1.726,40-43
8.000,4.000,23.000,29.000,1.221,<30
8.000,4.000,162.000,44.000,1.853,>43
8.000,4.000,35.000,28.000,1.179,<30
8.000,4.000,113.000,45.000,1.895,>43
8.000,4.000,67.000,35.000,1.474,35-39
8.000,4.000,58.000,33.000,1.389,30-34
8.000,4.000,104.000,43.000,1.811,40-43
8.000,4.000,121.000,44.000,1.853,>43
8.000,4.000,130.000,45.000,1.895,>43
8.000,4.000,118.000,39.000,1.642,35-39
8.000,4.000,140.000,47.000,1.979,>43
8.000,4.000,94.000,40.000,1.684,40-43
8.000,4.000,111.000,46.000,1.937,>43
8.000,4.000,115.000,38.000,1.600,35-39
8.000,4.000,164.000,42.000,1.768,40-43
8.000,4.000,147.000,,,Unknown
8.000,4.000,152.000,45.000,1.895,>43
8.000,4.000,148.000,44.000,1.853,>43
8.000,7.000,97.000,43.000,1.811,40-43
8.000,7.000,95.000,43.000,1.811,40-43
8.000,7.000,90.000,41.000,1.726,40-43
8.000,7.000,95.000,40.000,1.684,40-43
8.000,7.000,88.000,44.000,1.853,>43
8.000,7.000,83.000,41.000,1.726,40-43
8.000,7.000,86.000,37.000,1.558,35-39
8.000,7.000,88.000,40.000,1.684,40-43
8.000,7.000,111.000,42.000,1.768,40-43
8.000,7.000,102.000,46.000,1.937,>43
8.000,7.000,64.000,37.000,1.558,35-39
8.000,7.000,84.000,41.000,1.726,40-43
8.000,7.000,112.000,42.000,1.768,40-43
8.000,7.000,85.000,42.000,1.768,40-43
8.000,7.000,74.000,34.000,1.432,30-34
8.000,7.000,77.000,42.000,1.768,40-43
8.000,7.000,44.000,36.000,1.516,35-39
8.000,7.000,62.000,39.000,1.642,35-39
8.000,7.000,74.000,38.000,1.600,35-39
8.000,7.000,74.000,38.000,1.600,35-39
8.000,10.000,67.000,36.000,1.516,35-39
8.000,10.000,72.000,38.000,1.600,35-39
8.000,10.000,110.000,42.000,1.768,40-43
8.000,10.000,112.000,45.000,1.895,>43
8.000,10.000,136.000,45.000,1.895,>43
8.000,10.000,64.000,41.000,1.726,40-43
8.000,10.000,77.000,41.000,1.726,40-43
8.000,10.000,95.000,42.000,1.768,40-43
8.000,10.000,90.000,35.000,1.474,35-39
8.000,10.000,110.000,46.000,1.937,>43
8.000,10.000,139.000,46.000,1.937,>43
8.000,10.000,142.000,44.000,1.853,>43
8.000,10.000,73.000,36.000,1.516,35-39
8.000,10.000,106.000,40.000,1.684,40-43
8.000,10.000,80.000,39.000,1.642,35-39
8.000,10.000,119.000,42.000,1.768,40-43
8.000,10.000,119.000,45.000,1.895,>43
8.000,10.000,97.000,42.000,1.768,40-43
8.000,10.000,109.000,43.000,1.811,40-43
8.000,10.000,113.000,43.000,1.811,40-43
8.000,10.000,108.000,44.000,1.853,>43
8.000,10.000,99.000,42.000,1.768,40-43
8.000,10.000,93.000,40.000,1.684,40-43
9.000,1.000,139.000,43.000,1.811,40-43
9.000,1.000,153.000,44.000,1.853,>43
9.000,1.000,123.000,42.000,1.768,40-43
9.000,1.000,70.000,36.000,1.516,35-39
9.000,1.000,77.000,36.000,1.516,35-39
9.000,1.000,89.000,36.000,1.516,35-39
9.000,1.000,51.000,29.000,1.221,<30
9.000,1.000,116.000,42.000,1.768,40-43
9.000,1.000,105.000,39.000,1.642,35-39
9.000,1.000,106.000,40.000,1.684,40-43
9.000,1.000,74.000,36.000,1.516,35-39
9.000,1.000,80.000,37.000,1.558,35-39
9.000,1.000,30.000,26.000,1.095,<30
9.000,1.000,110.000,43.000,1.811,40-43
9.000,1.000,60.000,31.000,1.305,30-34
9.000,1.000,80.000,41.000,1.726,40-43
9.000,1.000,43.000,29.000,1.221,<30
9.000,1.000,111.000,45.000,1.895,>43
9.000,1.000,108.000,39.000,1.642,35-39
9.000,1.000,48.000,30.000,1.263,30-34
9.000,1.000,88.000,39.000,1.642,35-39
9.000,1.000,54.000,32.000,1.347,30-34
9.000,1.000,78.000,36.000,1.516,35-39
9.000,1.000,37.000,31.000,1.305,30-34
9.000,1.000,25.000,27.000,1.137,<30
9.000,1.000,121.000,46.000,1.937,>43
9.000,1.000,71.000,37.000,1.558,35-39
9.000,1.000,39.000,29.000,1.221,<30
9.000,4.000,139.000,45.000,1.895,>43
9.000,4.000,86.000,36.000,1.516,35-39
9.000,4.000,132.000,42.000,1.768,40-43
9.000,4.000,137.000,47.000,1.979,>43
9.000,4.000,159.000,43.000,1.811,40-43
9.000,4.000,120.000,45.000,1.895,>43
9.000,4.000,77.000,34.000,1.432,30-34
9.000,4.000,67.000,35.000,1.474,35-39
9.000,4.000,104.000,45.000,1.895,>43
9.000,4.000,83.000,40.000,1.684,40-43
9.000,4.000,122.000,45.000,1.895,>43
9.000,4.000,114.000,44.000,1.853,>43
9.000,4.000,50.000,31.000,1.305,30-34
9.000,4.000,147.000,46.000,1.937,>43
9.000,4.000,78.000,37.000,1.558,35-39
9.000,4.000,56.000,32.000,1.347,30-34
9.000,4.000,34.000,27.000,1.137,<30
9.000,4.000,92.000,39.000,1.642,35-39
9.000,4.000,41.000,30.000,1.263,30-34
9.000,4.000,75.000,37.000,1.558,35-39
9.000,4.000,89.000,38.000,1.600,35-39
9.000,4.000,121.000,,,Unknown
9.000,7.000,129.000,46.000,1.937,>43
9.000,7.000,86.000,38.000,1.600,35-39
9.000,7.000,129.000,47.000,1.979,>43
9.000,7.000,99.000,39.000,1.642,35-39
9.000,7.000,112.000,45.000,1.895,>43
9.000,7.000,74.000,40.000,1.684,40-43
9.000,7.000,122.000,44.000,1.853,>43
9.000,7.000,126.000,47.000,1.979,>43
9.000,7.000,89.000,39.000,1.642,35-39
9.000,7.000,94.000,39.000,1.642,35-39
9.000,7.000,111.000,43.000,1.811,40-43
9.000,7.000,103.000,42.000,1.768,40-43
9.000,7.000,65.000,37.000,1.558,35-39
9.000,7.000,58.000,36.000,1.516,35-39
9.000,7.000,113.000,37.000,1.558,35-39
9.000,7.000,109.000,42.000,1.768,40-43
9.000,7.000,76.000,43.000,1.811,40-43
9.000,7.000,59.000,36.000,1.516,35-39
9.000,7.000,89.000,41.000,1.726,40-43
9.000,7.000,65.000,37.000,1.558,35-39
9.000,7.000,56.000,35.000,1.474,35-39
9.000,7.000,130.000,45.000,1.895,>43
9.000,7.000,89.000,41.000,1.726,40-43
9.000,7.000,109.000,43.000,1.811,40-43
9.000,7.000,115.000,45.000,1.895,>43
9.000,7.000,136.000,47.000,1.979,>43
9.000,7.000,71.000,38.000,1.600,35-39
9.000,7.000,97.000,41.000,1.726,40-43
9.000,7.000,113.000,46.000,1.937,>43
9.000,7.000,53.000,34.000,1.432,30-34
9.000,7.000,126.000,45.000,1.895,>43
9.000,7.000,59.000,34.000,1.432,30-34
9.000,7.000,114.000,46.000,1.937,>43
9.000,10.000,118.000,42.000,1.768,40-43
9.000,10.000,84.000,37.000,1.558,35-39
9.000,10.000,124.000,45.000,1.895,>43
9.000,10.000,112.000,44.000,1.853,>43
9.000,10.000,111.000,41.000,1.726,40-43
9.000,10.000,98.000,39.000,1.642,35-39
9.000,10.000,73.000,37.000,1.558,35-39
9.000,10.000,111.000,41.000,1.726,40-43
9.000,10.000,144.000,44.000,1.853,>43
9.000,10.000,108.000,40.000,1.684,40-43
9.000,10.000,114.000,37.000,1.558,35-39
9.000,10.000,45.000,31.000,1.305,30-34
9.000,10.000,136.000,44.000,1.853,>43
9.000,10.000,55.000,35.000,1.474,35-39
9.000,10.000,92.000,40.000,1.684,40-43
9.000,10.000,153.000,46.000,1.937,>43
9.000,10.000,121.000,40.000,1.684,40-43
9.000,10.000,123.000,45.000,1.895,>43
9.000,10.000,163.000,46.000,1.937,>43
9.000,10.000,90.000,41.000,1.726,40-43
9.000,10.000,114.000,46.000,1.937,>43
9.000,10.000,118.000,43.000,1.811,40-43
9.000,10.000,95.000,38.000,1.600,35-39
10.000,1.000,123.000,43.000,1.811,40-43
10.000,1.000,119.000,43.000,1.811,40-43
10.000,1.000,125.000,46.000,1.937,>43
10.000,1.000,87.000,38.000,1.600,35-39
10.000,1.000,168.000,48.000,2.021,>43
10.000,1.000,111.000,45.000,1.895,>43
10.000,1.000,64.000,35.000,1.474,35-39
10.000,1.000,74.000,35.000,1.474,35-39
10.000,1.000,79.000,38.000,1.600,35-39
10.000,1.000,91.000,41.000,1.726,40-43
10.000,1.000,117.000,44.000,1.853,>43
10.000,1.000,145.000,47.000,1.979,>43
10.000,1.000,108.000,40.000,1.684,40-43
10.000,1.000,112.000,45.000,1.895,>43
10.000,1.000,62.000,39.000,1.642,35-39
10.000,1.000,140.000,43.000,1.811,40-43
10.000,1.000,144.000,46.000,1.937,>43
10.000,1.000,172.000,41.000,1.726,40-43
10.000,1.000,38.000,30.000,1.263,30-34
10.000,1.000,147.000,43.000,1.811,40-43
10.000,4.000,123.000,45.000,1.895,>43
10.000,4.000,73.000,35.000,1.474,35-39
10.000,4.000,139.000,46.000,1.937,>43
10.000,4.000,77.000,36.000,1.516,35-39
10.000,4.000,98.000,42.000,1.768,40-43
10.000,4.000,69.000,35.000,1.474,35-39
10.000,4.000,91.000,41.000,1.726,40-43
10.000,4.000,119.000,46.000,1.937,>43
10.000,4.000,109.000,44.000,1.853,>43
10.000,4.000,103.000,43.000,1.811,40-43
10.000,4.000,99.000,42.000,1.768,40-43
10.000,4.000,108.000,43.000,1.811,40-43
10.000,4.000,57.000,34.000,1.432,30-34
10.000,4.000,97.000,38.000,1.600,35-39
10.000,4.000,81.000,35.000,1.474,35-39
10.000,4.000,106.000,42.000,1.768,40-43
10.000,4.000,124.000,46.000,1.937,>43
10.000,4.000,86.000,41.000,1.726,40-43
10.000,4.000,86.000,42.000,1.768,40-43
10.000,4.000,66.000,33.000,1.389,30-34
10.000,4.000,82.000,37.000,1.558,35-39
10.000,7.000,105.000,41.000,1.726,40-43
10.000,7.000,66.000,39.000,1.642,35-39
10.000,7.000,97.000,41.000,1.726,40-43
10.000,7.000,59.000,33.000,1.389,30-34
10.000,7.000,108.000,43.000,1.811,40-43
10.000,7.000,109.000,41.000,1.726,40-43
10.000,7.000,115.000,44.000,1.853,>43
10.000,7.000,112.000,42.000,1.768,40-43
10.000,7.000,69.000,35.000,1.474,35-39
10.000,7.000,80.000,39.000,1.642,35-39
10.000,7.000,103.000,42.000,1.768,40-43
10.000,7.000,104.000,45.000,1.895,>43
10.000,7.000,119.000,45.000,1.895,>43
10.000,7.000,126.000,43.000,1.811,40-43
10.000,7.000,74.000,35.000,1.474,35-39
10.000,7.000,107.000,42.000,1.768,40-43
10.000,7.000,120.000,42.000,1.768,40-43
10.000,7.000,111.000,41.000,1.726,40-43
10.000,7.000,54.000,32.000,1.347,30-34
10.000,7.000,109.000,45.000,1.895,>43
10.000,7.000,127.000,45.000,1.895,>43
10.000,7.000,99.000,41.000,1.726,40-43
10.000,7.000,90.000,41.000,1.726,40-43
10.000,7.000,103.000,43.000,1.811,40-43
10.000,7.000,165.000,47.000,1.979,>43
10.000,7.000,83.000,37.000,1.558,35-39
10.000,7.000,121.000,46.000,1.937,>43
10.000,7.000,80.000,38.000,1.600,35-39
10.000,7.000,83.000,39.000,1.642,35-39
10.000,7.000,111.000,43.000,1.811,40-43
10.000,7.000,110.000,43.000,1.811,40-43
10.000,7.000,69.000,35.000,1.474,35-39
10.000,7.000,125.000,43.000,1.811,40-43
10.000,7.000,104.000,41.000,1.726,40-43
10.000,7.000,117.000,44.000,1.853,>43
10.000,10.000,123.000,44.000,1.853,>43
10.000,10.000,114.000,45.000,1.895,>43
10.000,10.000,132.000,45.000,1.895,>43
10.000,10.000,112.000,44.000,1.853,>43
10.000,10.000,104.000,41.000,1.726,40-43
10.000,10.000,100.000,44.000,1.853,>43
10.000,10.000,72.000,42.000,1.768,40-43
10.000,10.000,88.000,42.000,1.768,40-43
10.000,10.000,57.000,38.000,1.600,35-39
10.000,10.000,82.000,42.000,1.768,40-43
10.000,10.000,79.000,40.000,1.684,40-43
10.000,10.000,83.000,43.000,1.811,40-43
10.000,10.000,68.000,37.000,1.558,35-39
10.000,10.000,111.000,46.000,1.937,>43
10.000,10.000,68.000,35.000,1.474,35-39
10.000,10.000,105.000,39.000,1.642,35-39
10.000,10.000,98.000,39.000,1.642,35-39
10.000,10.000,99.000,41.000,1.726,40-43
10.000,10.000,145.000,45.000,1.895,>43
10.000,10.000,97.000,42.000,1.768,40-43
10.000,10.000,133.000,42.000,1.768,40-43
10.000,10.000,93.000,43.000,1.811,40-43
10.000,10.000,121.000,45.000,1.895,>43
11.000,1.000,70.000,37.000,1.558,35-39
11.000,1.000,81.000,40.000,1.684,40-43
11.000,1.000,127.000,46.000,1.937,>43
11.000,1.000,110.000,43.000,1.811,40-43
11.000,1.000,61.000,30.000,1.263,30-34
11.000,1.000,144.000,46.000,1.937,>43
11.000,1.000,150.000,40.000,1.684,40-43
11.000,1.000,94.000,40.000,1.684,40-43
11.000,1.000,136.000,40.000,1.684,40-43
11.000,1.000,176.000,42.000,1.768,40-43
11.000,1.000,39.000,26.000,1.095,<30
11.000,1.000,91.000,37.000,1.558,35-39
11.000,1.000,152.000,42.000,1.768,40-43
11.000,1.000,39.000,27.000,1.137,<30
11.000,1.000,93.000,38.000,1.600,35-39
11.000,1.000,71.000,33.000,1.389,30-34
11.000,1.000,90.000,39.000,1.642,35-39
11.000,1.000,114.000,43.000,1.811,40-43
11.000,1.000,40.000,26.000,1.095,<30
11.000,1.000,145.000,45.000,1.895,>43
11.000,1.000,40.000,28.000,1.179,<30
11.000,1.000,126.000,45.000,1.895,>43
11.000,1.000,106.000,40.000,1.684,40-43
11.000,4.000,84.000,37.000,1.558,35-39
11.000,4.000,72.000,40.000,1.684,40-43
11.000,4.000,122.000,45.000,1.895,>43
11.000,4.000,119.000,47.000,1.979,>43
11.000,4.000,65.000,36.000,1.516,35-39
11.000,4.000,69.000,37.000,1.558,35-39
11.000,4.000,106.000,41.000,1.726,40-43
11.000,4.000,89.000,38.000,1.600,35-39
11.000,4.000,93.000,40.000,1.684,40-43
11.000,4.000,96.000,40.000,1.684,40-43
11.000,4.000,99.000,42.000,1.768,40-43
11.000,4.000,95.000,41.000,1.726,40-43
11.000,4.000,109.000,44.000,1.853,>43
11.000,4.000,82.000,39.000,1.642,35-39
11.000,4.000,94.000,38.000,1.600,35-39
11.000,4.000,106.000,38.000,1.600,35-39
11.000,4.000,120.000,41.000,1.726,40-43
11.000,4.000,29.000,25.000,1.053,<30
11.000,4.000,109.000,40.000,1.684,40-43
11.000,4.000,95.000,42.000,1.768,40-43
11.000,4.000,66.000,35.000,1.474,35-39
11.000,4.000,43.000,26.000,1.095,<30
11.000,4.000,81.000,40.000,1.684,40-43
11.000,4.000,48.000,32.000,1.347,30-34
11.000,4.000,45.000,31.000,1.305,30-34
11.000,7.000,102.000,41.000,1.726,40-43
11.000,7.000,130.000,42.000,1.768,40-43
11.000,7.000,104.000,42.000,1.768,40-43
11.000,7.000,104.000,45.000,1.895,>43
11.000,7.000,99.000,38.000,1.600,35-39
11.000,7.000,92.000,42.000,1.768,40-43
11.000,7.000,79.000,37.000,1.558,35-39
11.000,7.000,66.000,35.000,1.474,35-39
11.000,7.000,123.000,46.000,1.937,>43
11.000,7.000,76.000,40.000,1.684,40-43
11.000,7.000,52.000,34.000,1.432,30-34
11.000,7.000,67.000,35.000,1.474,35-39
11.000,7.000,110.000,43.000,1.811,40-43
11.000,7.000,74.000,38.000,1.600,35-39
11.000,7.000,59.000,37.000,1.558,35-39
11.000,7.000,91.000,42.000,1.768,40-43
11.000,7.000,54.000,37.000,1.558,35-39
11.000,7.000,112.000,41.000,1.726,40-43
11.000,7.000,127.000,45.000,1.895,>43
11.000,7.000,107.000,45.000,1.895,>43
11.000,7.000,115.000,46.000,1.937,>43
11.000,7.000,90.000,42.000,1.768,40-43
11.000,7.000,56.000,34.000,1.432,30-34
11.000,7.000,137.000,46.000,1.937,>43
11.000,7.000,106.000,44.000,1.853,>43
11.000,10.000,53.000,33.000,1.389,30-34
11.000,10.000,89.000,40.000,1.684,40-43
11.000,10.000,95.000,41.000,1.726,40-43
11.000,10.000,78.000,37.000,1.558,35-39
11.000,10.000,50.000,33.000,1.389,30-34
11.000,10.000,52.000,33.000,1.389,30-34
11.000,10.000,90.000,41.000,1.726,40-43
11.000,10.000,136.000,45.000,1.895,>43
11.000,10.000,100.000,41.000,1.726,40-43
11.000,10.000,116.000,41.000,1.726,40-43
11.000,10.000,38.000,28.000,1.179,<30
11.000,10.000,113.000,45.000,1.895,>43
11.000,10.000,89.000,38.000,1.600,35-39
11.000,10.000,48.000,32.000,1.347,30-34
11.000,10.000,106.000,42.000,1.768,40-43
11.000,10.000,108.000,41.000,1.726,40-43
11.000,10.000,86.000,37.000,1.558,35-39
11.000,10.000,110.000,42.000,1.768,40-43
11.000,10.000,90.000,38.000,1.600,35-39
11.000,10.000,94.000,40.000,1.684,40-43
11.000,10.000,28.000,26.000,1.095,<30
11.000,10.000,116.000,46.000,1.937,>43
11.000,10.000,78.000,38.000,1.600,35-39
11.000,10.000,116.000,41.000,1.726,40-43
11.000,10.000,70.000,35.000,1.474,35-39
11.000,10.000,99.000,38.000,1.600,35-39
11.000,10.000,118.000,43.000,1.811,40-43
11.000,10.000,103.000,41.000,1.726,40-43
11.000,10.000,114.000,46.000,1.937,>43
11.000,10.000,98.000,43.000,1.811,40-43
11.000,10.000,61.000,35.000,1.474,35-39
11.000,10.000,77.000,37.000,1.558,35-39
11.000,10.000,53.000,32.000,1.347,30-34
11.000,10.000,132.000,45.000,1.895,>43
11.000,10.000,98.000,42.000,1.768,40-43
1.000,0.000,163.000,46.000,1.937,>43
1.000,0.000,102.000,39.000,1.642,35-39
1.000,0.000,144.000,48.000,2.021,>43
1.000,0.000,115.000,43.000,1.811,40-43
1.000,0.000,108.000,43.000,1.811,40-43
1.000,0.000,68.000,34.000,1.432,30-34
1.000,0.000,107.000,42.000,1.768,40-43
1.000,0.000,141.000,42.000,1.768,40-43
1.000,0.000,111.000,42.000,1.768,40-43
1.000,0.000,55.000,32.000,1.347,30-34
1.000,0.000,112.000,42.000,1.768,40-43
1.000,0.000,100.000,39.000,1.642,35-39
2.000,0.000,116.000,43.000,1.811,40-43
2.000,0.000,71.000,35.000,1.474,35-39
2.000,0.000,146.000,46.000,1.937,>43
2.000,0.000,119.000,45.000,1.895,>43
2.000,0.000,97.000,42.000,1.768,40-43
2.000,0.000,43.000,30.000,1.263,30-34
2.000,0.000,127.000,45.000,1.895,>43
2.000,0.000,106.000,43.000,1.811,40-43
2.000,0.000,79.000,35.000,1.474,35-39
2.000,0.000,127.000,45.000,1.895,>43
2.000,0.000,114.000,44.000,1.853,>43
2.000,0.000,85.000,40.000,1.684,40-43
3.000,0.000,90.000,36.000,1.516,35-39
3.000,0.000,149.000,45.000,1.895,>43
3.000,0.000,116.000,41.000,1.726,40-43
3.000,0.000,142.000,47.000,1.979,>43
3.000,0.000,90.000,37.000,1.558,35-39
3.000,0.000,73.000,37.000,1.558,35-39
3.000,0.000,151.000,45.000,1.895,>43
3.000,0.000,135.000,43.000,1.811,40-43
3.000,0.000,90.000,41.000,1.726,40-43
3.000,0.000,81.000,39.000,1.642,35-39
3.000,0.000,64.000,34.000,1.432,30-34
3.000,0.000,54.000,29.000,1.221,<30
4.000,0.000,56.000,31.000,1.305,30-34
4.000,0.000,75.000,38.000,1.600,35-39
4.000,0.000,139.000,46.000,1.937,>43
4.000,0.000,127.000,47.000,1.979,>43
4.000,0.000,96.000,37.000,1.558,35-39
4.000,0.000,52.000,33.000,1.389,30-34
4.000,0.000,94.000,45.000,1.895,>43
4.000,0.000,119.000,41mm,1.726,40-43
4.000,0.000,99.000,44.000,1.853,>43
4.000,0.000,117.000,45.000,1.895,>43
4.000,0.000,103.000,44.000,1.853,>43
4.000,0.000,80.000,39.000,1.642,35-39
6.000,0.000,130.000,43.000,1.811,40-43
6.000,0.000,102.000,40.000,1.684,40-43
6.000,0.000,106.000,43.000,1.811,40-43
6.000,0.000,38.000,27.000,1.137,<30
6.000,0.000,49.000,31.000,1.305,30-34
6.000,0.000,120.000,41.000,1.726,40-43
6.000,0.000,113.000,43.000,1.811,40-43
6.000,0.000,65.000,36.000,1.516,35-39
6.000,0.000,126.000,45.000,1.895,>43
6.000,0.000,91.000,39.000,1.642,35-39
6.000,0.000,82.000,37.000,1.558,35-39
6.000,0.000,158.000,48.000,2.021,>43
7.000,0.000,122.000,46.000,1.937,>43
7.000,0.000,56.000,33.000,1.389,30-34
7.000,0.000,144.000,45.000,1.895,>43
7.000,0.000,74.000,40.000,1.684,40-43
7.000,0.000,112.000,45.000,1.895,>43
7.000,0.000,53.000,30.000,1.263,30-34
7.000,0.000,104.000,43.000,1.811,40-43
7.000,0.000,72.000,38.000,1.600,35-39
7.000,0.000,106.000,40.000,1.684,40-43
7.000,0.000,92.000,42.000,1.768,40-43
7.000,0.000,98.000,45.000,1.895,>43
7.000,0.000,47.000,30.000,1.263,30-34
8.000,0.000,106.000,44.000,1.853,>43
8.000,0.000,80.000,39.000,1.642,35-39
8.000,0.000,121.000,48.000,2.021,>43
8.000,0.000,75.000,37.000,1.558,35-39
8.000,0.000,83.000,41.000,1.726,40-43
8.000,0.000,53.000,32.000,1.347,30-34
8.000,0.000,108.000,45.000,1.895,>43
8.000,0.000,41.000,27.000,1.137,<30
8.000,0.000,117.000,46.000,1.937,>43
8.000,0.000,41.000,30.000,1.263,30-34
8.000,0.000,127.000,47.000,1.979,>43
8.000,0.000,90.000,40.000,1.684,40-43
9.000,0.000,136.000,46.000,1.937,>43
9.000,0.000,86.000,39.000,1.642,35-39
9.000,0.000,91.000,41.000,1.726,40-43
9.000,0.000,77.000,36.000,1.516,35-39
9.000,0.000,126.000,44.000,1.853,>43
9.000,0.000,64.000,33.000,1.389,30-34
9.000,0.000,131.000,48.000,2.021,>43
9.000,0.000,48.000,30.000,1.263,30-34
9.000,0.000,147.000,45.000,1.895,>43
9.000,0.000,70.000,33.000,1.389,30-34
9.000,0.000,161.000,45.000,1.895,>43
9.000,0.000,29.000,25.000,1.053,<30
10.000,0.000,90.000,40.000,1.684,40-43
10.000,0.000,122.000,46.000,1.937,>43
10.000,0.000,113.000,44.000,1.853,>43
10.000,0.000,47.000,30.000,1.263,30-34
10.000,0.000,125.000,45.000,1.895,>43
10.000,0.000,88.000,40.000,1.684,40-43
10.000,0.000,122.000,43.000,1.811,40-43
10.000,0.000,80.000,37.000,1.558,35-39
10.000,0.000,113.000,47.000,1.979,>43
10.000,0.000,44.000,31.000,1.305,30-34
10.000,0.000,86.000,38.000,1.600,35-39
10.000,0.000,32.000,26.000,1.095,<30
11.000,0.000,123.000,45.000,1.895,>43
11.000,0.000,88.000,41.000,1.726,40-43
11.000,0.000,153.000,46.000,1.937,>43
11.000,0.000,83.000,41.000,1.726,40-43
11.000,0.000,112.000,44.000,1.853,>43
11.000,0.000,34.000,29.000,1.221,<30
11.000,0.000,107.000,44.000,1.853,>43
11.000,0.000,56.000,34.000,1.432,30-34
11.000,0.000,121.000,45.000,1.895,>43
11.000,0.000,53.000,33.000,1.389,30-34
11.000,0.000,189.000,44.000,1.853,>43
11.000,0.000,75.000,39.000,1.642,35-39
5.000,0.000,132.000,47.000,1.979,>43
5.000,0.000,64.000,37.000,1.558,35-39
5.000,0.000,109.000,41.000,1.726,40-43
5.000,0.000,59.000,33.000,1.389,30-34
5.000,0.000,120.000,42.000,1.768,40-43
5.000,0.000,56.000,37.000,1.558,35-39
5.000,0.000,189.000,48.000,2.021,>43
5.000,0.000,95.000,39.000,1.642,35-39
5.000,0.000,135.000,47.000,1.979,>43
5.000,0.000,110.000,41.000,1.726,40-43
5.000,0.000,147.000,46.000,1.937,>43
5.000,0.000,135.000,41.000,1.726,40-43
5.000,1.000,159.000,45.000,1.895,>43
5.000,1.000,61.000,35.000,1.474,35-39
5.000,1.000,130.000,42.000,1.768,40-43
5.000,1.000,136.000,42.000,1.768,40-43
5.000,1.000,120.000,42.000,1.768,40-43
5.000,1.000,107.000,43.000,1.811,40-43
5.000,1.000,77.000,37.000,1.558,35-39
5.000,1.000,114.000,42.000,1.768,40-43
5.000,1.000,119.000,44.000,1.853,>43
5.000,1.000,76.000,38.000,1.600,35-39
5.000,1.000,120.000,43.000,1.811,40-43
5.000,1.000,106.000,40.000,1.684,40-43
5.000,1.000,118.000,43.000,1.811,40-43
5.000,1.000,73.000,36.000,1.516,35-39
5.000,1.000,122.000,43.000,1.811,40-43
5.000,1.000,86.000,39.000,1.642,35-39
5.000,1.000,85.000,39.000,1.642,35-39
5.000,1.000,97.000,43.000,1.811,40-43
5.000,1.000,91.000,37.000,1.558,35-39
5.000,1.000,111.000,42.000,1.768,40-43
5.000,1.000,84.000,,,Unknown
5.000,1.000,118.000,45.000,1.895,>43
5.000,1.000,74.000,36.000,1.516,35-39
5.000,1.000,104.000,43.000,1.811,40-43
5.000,1.000,130.000,44.000,1.853,>43
5.000,1.000,87.000,36.000,1.516,35-39
5.000,1.000,83.000,40.000,1.684,40-43
5.000,1.000,72.000,37.000,1.558,35-39
5.000,1.000,145.000,45.000,1.895,>43
5.000,4.000,42.000,28.000,1.179,<30
5.000,4.000,44.000,30.000,1.263,30-34
5.000,4.000,103.000,40.000,1.684,40-43
5.000,4.000,50.000,32.000,1.347,30-34
5.000,4.000,28.000,29.000,1.221,<30
5.000,4.000,108.000,45.000,1.895,>43
5.000,4.000,118.000,42.000,1.768,40-43
5.000,4.000,97.000,39.000,1.642,35-39
5.000,4.000,96.000,39.000,1.642,35-39
5.000,4.000,34.000,28.000,1.179,<30
5.000,4.000,63.000,35.000,1.474,35-39
5.000,4.000,110.000,46.000,1.937,>43
5.000,4.000,80.000,36.000,1.516,35-39
5.000,4.000,70.000,40.000,1.684,40-43
5.000,4.000,73.000,36.000,1.516,35-39
5.000,4.000,39.000,31.000,1.305,30-34
5.000,4.000,105.000,42.000,1.768,40-43
5.000,4.000,97.000,39.000,1.642,35-39
5.000,4.000,78.000,36.000,1.516,35-39
5.000,4.000,121.000,43.000,1.811,40-43
5.000,4.000,80.000,46.000,1.937,>43
5.000,4.000,83.000,42.000,1.768,40-43
5.000,4.000,111.000,41.000,1.726,40-43
5.000,4.000,110.000,44.000,1.853,>43
5.000,4.000,69.000,32.000,1.347,30-34
5.000,4.000,125.000,43.000,1.811,40-43
5.000,4.000,104.000,43.000,1.811,40-43
5.000,4.000,117.000,35.000,1.474,35-39
5.000,7.000,87.000,40.000,1.684,40-43
