SampleID	BarcodeSequence	LinkerPrimerSequence	Run	Ecosystem	Island	Lat	Lon	Collection_Date	F_Primer	R_Primer	Ecosys_Type	Host_Type	Host	InputFileName	Description
O.302			BIG	Plant_Endophyte	Hawaii	19.63971703	-155.363864		ITS1F	ITS2	Terrestrial		Vaccinium	O.302.fasta	BIG_O.302
O.303			BIG	Plant_Endophyte	Hawaii	19.63971703	-155.363864		ITS1F	ITS2	Terrestrial		Vaccinium	O.303.fasta	BIG_O.303
O.304			BIG	Plant_Endophyte	Hawaii	19.639683	-155.363857		ITS1F	ITS2	Terrestrial		Leptecophylla	O.304.fasta	BIG_O.304
O.305			BIG	Plant_Endophyte	Hawaii	19.63959097	-155.363931		ITS1F	ITS2	Terrestrial		Metrosideros	O.305.fasta	BIG_O.305
O.306			BIG	Plant_Endophyte	Hawaii	19.63991904	-155.363985		ITS1F	ITS2	Terrestrial		Metrosideros	O.306.fasta	BIG_O.306
O.307			BIG	Plant_Endophyte	Hawaii	19.63995801	-155.364033		ITS1F	ITS2	Terrestrial		Vaccinium	O.307.fasta	BIG_O.307
O.308			BIG	Plant_Endophyte	Hawaii	19.64004703	-155.364037		ITS1F	ITS2	Terrestrial		Leptecophylla	O.308.fasta	BIG_O.308
O.309			BIG	Plant_Endophyte	Hawaii	19.64018701	-155.364063		ITS1F	ITS2	Terrestrial		Metrosideros	O.309.fasta	BIG_O.309
O.310			BIG	Plant_Endophyte	Hawaii	19.64022397	-155.364072		ITS1F	ITS2	Terrestrial		Vaccinium	O.310.fasta	BIG_O.310
O.311			BIG	Plant_Endophyte	Hawaii	19.64032598	-155.364078		ITS1F	ITS2	Terrestrial		Leptecophylla	O.311.fasta	BIG_O.311
O.312			BIG	Plant_Endophyte	Hawaii	19.64043503	-155.364164		ITS1F	ITS2	Terrestrial		Metrosideros	O.312.fasta	BIG_O.312
O.313			BIG	Plant_Endophyte	Hawaii	19.64059504	-155.364197		ITS1F	ITS2	Terrestrial		Vaccinium	O.313.fasta	BIG_O.313
O.314			BIG	Plant_Endophyte	Hawaii	19.64061297	-155.364165		ITS1F	ITS2	Terrestrial		Metrosideros	O.314.fasta	BIG_O.314
O.315			BIG	Plant_Endophyte	Hawaii	19.64070098	-155.364284		ITS1F	ITS2	Terrestrial		Leptecophylla	O.315.fasta	BIG_O.315
O.316			BIG	Plant_Endophyte	Hawaii	19.64079704	-155.364261		ITS1F	ITS2	Terrestrial		Leptecophylla	O.316.fasta	BIG_O.316
O.317			BIG	Plant_Endophyte	Hawaii	19.64082898	-155.364261		ITS1F	ITS2	Terrestrial		Vaccinium	O.317.fasta	BIG_O.317
O.401			BIG	Plant_Endophyte	Hawaii	19.64914701	-155.36618		ITS1F	ITS2	Terrestrial		Vaccinium	O.401.fasta	BIG_O.401
O.402			BIG	Plant_Endophyte	Hawaii	19.64915103	-155.366191		ITS1F	ITS2	Terrestrial		Vaccinium	O.402.fasta	BIG_O.402
O.403			BIG	Plant_Endophyte	Hawaii	19.64920602	-155.36623		ITS1F	ITS2	Terrestrial		Leptecophylla	O.403.fasta	BIG_O.403
O.404			BIG	Plant_Endophyte	Hawaii	19.64926201	-155.366216		ITS1F	ITS2	Terrestrial		Vaccinium	O.404.fasta	BIG_O.404
O.405			BIG	Plant_Endophyte	Hawaii	19.64929302	-155.366233		ITS1F	ITS2	Terrestrial		Vaccinium	O.405.fasta	BIG_O.405
O.406			BIG	Plant_Endophyte	Hawaii	19.64933099	-155.366241		ITS1F	ITS2	Terrestrial		Vaccinium	O.406.fasta	BIG_O.406
O.407			BIG	Plant_Endophyte	Hawaii	19.64940601	-155.366271		ITS1F	ITS2	Terrestrial		Vaccinium	O.407.fasta	BIG_O.407
O.408			BIG	Plant_Endophyte	Hawaii	19.649418	-155.366264		ITS1F	ITS2	Terrestrial		Leptecophylla	O.408.fasta	BIG_O.408
O.409			BIG	Plant_Endophyte	Hawaii	19.64951003	-155.366305		ITS1F	ITS2	Terrestrial		Vaccinium	O.409.fasta	BIG_O.409
O.410			BIG	Plant_Endophyte	Hawaii	19.64949603	-155.366274		ITS1F	ITS2	Terrestrial		Metrosideros	O.410.fasta	BIG_O.410
O.411			BIG	Plant_Endophyte	Hawaii	19.64956401	-155.366299		ITS1F	ITS2	Terrestrial		Vaccinium	O.411.fasta	BIG_O.411
O.412			BIG	Plant_Endophyte	Hawaii	19.64965504	-155.36633		ITS1F	ITS2	Terrestrial		Metrosideros	O.412.fasta	BIG_O.412
O.413			BIG	Plant_Endophyte	Hawaii	19.64961296	-155.366305		ITS1F	ITS2	Terrestrial		Vaccinium	O.413.fasta	BIG_O.413
O.414			BIG	Plant_Endophyte	Hawaii	19.649634	-155.366287		ITS1F	ITS2	Terrestrial		Vaccinium	O.414.fasta	BIG_O.414
O.415			BIG	Plant_Endophyte	Hawaii	19.64969502	-155.36633		ITS1F	ITS2	Terrestrial		Vaccinium	O.415.fasta	BIG_O.415
O.416			BIG	Plant_Endophyte	Hawaii	19.64971597	-155.366277		ITS1F	ITS2	Terrestrial		Vaccinium	O.416.fasta	BIG_O.416
O.417			BIG	Plant_Endophyte	Hawaii	19.64978001	-155.36629		ITS1F	ITS2	Terrestrial		Leptecophylla	O.417.fasta	BIG_O.417
O.418			BIG	Plant_Endophyte	Hawaii	19.64982997	-155.366304		ITS1F	ITS2	Terrestrial		Metrosideros	O.418.fasta	BIG_O.418
O.419			BIG	Plant_Endophyte	Hawaii	19.64984598	-155.366327		ITS1F	ITS2	Terrestrial		Vaccinium	O.419.fasta	BIG_O.419
O.420			BIG	Plant_Endophyte	Hawaii	19.64989501	-155.366344		ITS1F	ITS2	Terrestrial		Vaccinium	O.420.fasta	BIG_O.420
O.421			BIG	Plant_Endophyte	Hawaii	19.64988604	-155.366343		ITS1F	ITS2	Terrestrial		Leptecophylla	O.421.fasta	BIG_O.421
O.422			BIG	Plant_Endophyte	Hawaii	19.65007103	-155.366408		ITS1F	ITS2	Terrestrial		Metrosideros	O.422.fasta	BIG_O.422
O.423			BIG	Plant_Endophyte	Hawaii	19.65019802	-155.366432		ITS1F	ITS2	Terrestrial		Leptecophylla	O.423.fasta	BIG_O.423
O.424			BIG	Plant_Endophyte	Hawaii	19.65024202	-155.366473		ITS1F	ITS2	Terrestrial		Vaccinium	O.424.fasta	BIG_O.424
O.425			BIG	Plant_Endophyte	Hawaii	19.650498	-155.366465		ITS1F	ITS2	Terrestrial		Metrosideros	O.425.fasta	BIG_O.425
O.501			BIG	Plant_Endophyte	Hawaii	19.65994198	-155.368792		ITS1F	ITS2	Terrestrial		Vaccinium	O.501.fasta	BIG_O.501
O.502			BIG	Plant_Endophyte	Hawaii	19.66004801	-155.368819		ITS1F	ITS2	Terrestrial		Metrosideros	O.502.fasta	BIG_O.502
O.503			BIG	Plant_Endophyte	Hawaii	19.66013703	-155.368827		ITS1F	ITS2	Terrestrial		Leptecophylla	O.503.fasta	BIG_O.503
O.504			BIG	Plant_Endophyte	Hawaii	19.66023602	-155.36882		ITS1F	ITS2	Terrestrial		Vaccinium	O.504.fasta	BIG_O.504
O.505			BIG	Plant_Endophyte	Hawaii	19.66035303	-155.368891		ITS1F	ITS2	Terrestrial		Metrosideros	O.505.fasta	BIG_O.505
O.506			BIG	Plant_Endophyte	Hawaii	19.66044498	-155.368938		ITS1F	ITS2	Terrestrial		Leptecophylla	O.506.fasta	BIG_O.506
O.507			BIG	Plant_Endophyte	Hawaii	19.66058403	-155.368941		ITS1F	ITS2	Terrestrial		Vaccinium	O.507.fasta	BIG_O.507
O.508			BIG	Plant_Endophyte	Hawaii	19.66093901	-155.369073		ITS1F	ITS2	Terrestrial		Metrosideros	O.508.fasta	BIG_O.508
O.509			BIG	Plant_Endophyte	Hawaii	19.66099198	-155.369075		ITS1F	ITS2	Terrestrial		Leptecophylla	O.509.fasta	BIG_O.509
O.510			BIG	Plant_Endophyte	Hawaii	19.66111997	-155.369083		ITS1F	ITS2	Terrestrial		Vaccinium	O.510.fasta	BIG_O.510
O.511			BIG	Plant_Endophyte	Hawaii	19.66120999	-155.369091		ITS1F	ITS2	Terrestrial		Metrosideros	O.511.fasta	BIG_O.511
O.512			BIG	Plant_Endophyte	Hawaii	19.66147704	-155.369192		ITS1F	ITS2	Terrestrial		Leptecophylla	O.512.fasta	BIG_O.512
O.513			BIG	Plant_Endophyte	Hawaii	19.66165901	-155.369165		ITS1F	ITS2	Terrestrial		Vaccinium	O.513.fasta	BIG_O.513
O.514			BIG	Plant_Endophyte	Hawaii	19.66176102	-155.369177		ITS1F	ITS2	Terrestrial		Metrosideros	O.514.fasta	BIG_O.514
O.515			BIG	Plant_Endophyte	Hawaii	19.66213997	-155.369351		ITS1F	ITS2	Terrestrial		Leptecophylla	O.515.fasta	BIG_O.515
SRR1616444			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Pisonia_umbelifera	SRR1616444.fna	Richard_Swabs_SRR1616444
SRR1616225			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		ie_ie	SRR1616225.fna	Richard_Swabs_SRR1616225
SRR1616441			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		ie_ie	SRR1616441.fna	Richard_Swabs_SRR1616441
SRR1616402			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Claoxylon_sp	SRR1616402.fna	Richard_Swabs_SRR1616402
SRR1616209			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Claoxylon_sp	SRR1616209.fna	Richard_Swabs_SRR1616209
SRR1616403			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Claoxylon_sp	SRR1616403.fna	Richard_Swabs_SRR1616403
SRR1616450			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Claoxylon_sp	SRR1616450.fna	Richard_Swabs_SRR1616450
SRR1616231			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Psychotria_sp.	SRR1616231.fna	Richard_Swabs_SRR1616231
SRR1616439			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Psychotria_sp.	SRR1616439.fna	Richard_Swabs_SRR1616439
SRR1616337			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Pisonia_brunoniana	SRR1616337.fna	Richard_Swabs_SRR1616337
SRR1616397			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Pisonia_brunoniana	SRR1616397.fna	Richard_Swabs_SRR1616397
SRR1616327			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Pouteria_sandwicensis	SRR1616327.fna	Richard_Swabs_SRR1616327
SRR1616381			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Pouteria_sandwicensis	SRR1616381.fna	Richard_Swabs_SRR1616381
SRR1616493			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Pisonia_brunoniana	SRR1616493.fna	Richard_Swabs_SRR1616493
SRR1616491			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Pisonia_brunoniana	SRR1616491.fna	Richard_Swabs_SRR1616491
SRR1616526			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Mamaki	SRR1616526.fna	Richard_Swabs_SRR1616526
SRR1616543			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Mamaki	SRR1616543.fna	Richard_Swabs_SRR1616543
SRR1616306			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Myrsine_lessertiana	SRR1616306.fna	Richard_Swabs_SRR1616306
SRR1616383			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Myrsine_lessertiana	SRR1616383.fna	Richard_Swabs_SRR1616383
SRR1616184			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Myrsine_lessertiana	SRR1616184.fna	Richard_Swabs_SRR1616184
SRR1616411			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Myrsine_lessertiana	SRR1616411.fna	Richard_Swabs_SRR1616411
SRR1616215			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Smilax_sp.	SRR1616215.fna	Richard_Swabs_SRR1616215
SRR1616261			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Smilax_sp.	SRR1616261.fna	Richard_Swabs_SRR1616261
SRR1616435			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Myrsine_lessertiana	SRR1616435.fna	Richard_Swabs_SRR1616435
SRR1616246			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Myrsine_lessertiana	SRR1616246.fna	Richard_Swabs_SRR1616246
SRR1616463			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Urera_kaali	SRR1616463.fna	Richard_Swabs_SRR1616463
SRR1616379			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Urera_kaali	SRR1616379.fna	Richard_Swabs_SRR1616379
SRR1616443			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Urera_kaali	SRR1616443.fna	Richard_Swabs_SRR1616443
SRR1616236			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Urera_kaali	SRR1616236.fna	Richard_Swabs_SRR1616236
SRR1616188			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Myrsine_sp.	SRR1616188.fna	Richard_Swabs_SRR1616188
SRR1616373			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Myrsine_sp.	SRR1616373.fna	Richard_Swabs_SRR1616373
SRR1616407			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Myrsine_sp.	SRR1616407.fna	Richard_Swabs_SRR1616407
SRR1616194			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Myrsine_sp.	SRR1616194.fna	Richard_Swabs_SRR1616194
SRR1616415			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		ie_ie	SRR1616415.fna	Richard_Swabs_SRR1616415
SRR1616520			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		ie_ie	SRR1616520.fna	Richard_Swabs_SRR1616520
SRR1616489			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Urera_glabra	SRR1616489.fna	Richard_Swabs_SRR1616489
SRR1616527			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Urera_glabra	SRR1616527.fna	Richard_Swabs_SRR1616527
SRR1616516			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Urera_glabra	SRR1616516.fna	Richard_Swabs_SRR1616516
SRR1616399			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Myrsine_sp.	SRR1616399.fna	Richard_Swabs_SRR1616399
SRR1616334			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Pouteria_sandwicensis	SRR1616334.fna	Richard_Swabs_SRR1616334
SRR1616499			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Pouteria_sandwicensis	SRR1616499.fna	Richard_Swabs_SRR1616499
SRR1616309			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Pisonia_umbelifera	SRR1616309.fna	Richard_Swabs_SRR1616309
SRR1616538			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Pisonia_umbelifera	SRR1616538.fna	Richard_Swabs_SRR1616538
SRR1616479			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Ilex_anomala	SRR1616479.fna	Richard_Swabs_SRR1616479
SRR1616313			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Ilex_anomala	SRR1616313.fna	Richard_Swabs_SRR1616313
SRR1616515			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Ilex_anomala	SRR1616515.fna	Richard_Swabs_SRR1616515
SRR1616321			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Ilex_anomala	SRR1616321.fna	Richard_Swabs_SRR1616321
SRR1616557			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Ilex_anomala	SRR1616557.fna	Richard_Swabs_SRR1616557
SRR1616328			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Ilex_anomala	SRR1616328.fna	Richard_Swabs_SRR1616328
SRR1616559			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Peretidia_sp.	SRR1616559.fna	Richard_Swabs_SRR1616559
SRR1616229			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Peretidia_sp.	SRR1616229.fna	Richard_Swabs_SRR1616229
SRR1616282			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Christmas_berry	SRR1616282.fna	Richard_Swabs_SRR1616282
SRR1616312			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Christmas_berry	SRR1616312.fna	Richard_Swabs_SRR1616312
SRR1616258			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Christmas_berry	SRR1616258.fna	Richard_Swabs_SRR1616258
SRR1616389			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Christmas_berry	SRR1616389.fna	Richard_Swabs_SRR1616389
SRR1616553			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Claoxylon_sp	SRR1616553.fna	Richard_Swabs_SRR1616553
SRR1616268			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Claoxylon_sp	SRR1616268.fna	Richard_Swabs_SRR1616268
SRR1616260			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Claoxylon_sp	SRR1616260.fna	Richard_Swabs_SRR1616260
SRR1616242			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Claoxylon_sp	SRR1616242.fna	Richard_Swabs_SRR1616242
SRR1616182			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Psychotria_sp.	SRR1616182.fna	Richard_Swabs_SRR1616182
SRR1616567			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Psychotria_sp.	SRR1616567.fna	Richard_Swabs_SRR1616567
SRR1616484			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		ie_ie	SRR1616484.fna	Richard_Swabs_SRR1616484
SRR1616265			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		ie_ie	SRR1616265.fna	Richard_Swabs_SRR1616265
SRR1616396			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41250	ITS1F	ITS2	Terrestrial		Pouteria_sandwicensis	SRR1616396.fna	Richard_Swabs_SRR1616396
SRR1616507			Richard_Swabs	Plant_Epiphyte	Oahu	21.480484	-158.111346	41289	ITS1F	ITS2	Terrestrial		Pouteria_sandwicensis	SRR1616507.fna	Richard_Swabs_SRR1616507
SRR1616310			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Coprosma_longifolia	SRR1616310.fna	Richard_Swabs_SRR1616310
SRR1616471			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Coprosma_longifolia	SRR1616471.fna	Richard_Swabs_SRR1616471
SRR1616273			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Melicope_oahuensis	SRR1616273.fna	Richard_Swabs_SRR1616273
SRR1616478			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Melicope_oahuensis	SRR1616478.fna	Richard_Swabs_SRR1616478
SRR1616508			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Metrosideros_polymorpha	SRR1616508.fna	Richard_Swabs_SRR1616508
SRR1616185			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Metrosideros_polymorpha	SRR1616185.fna	Richard_Swabs_SRR1616185
SRR1616419			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Dianella_sandwicensis	SRR1616419.fna	Richard_Swabs_SRR1616419
SRR1616300			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Dianella_sandwicensis	SRR1616300.fna	Richard_Swabs_SRR1616300
SRR1616235			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Metrosideros_polymorpha	SRR1616235.fna	Richard_Swabs_SRR1616235
SRR1616502			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Metrosideros_polymorpha	SRR1616502.fna	Richard_Swabs_SRR1616502
SRR1616445			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Antidesma_sp.	SRR1616445.fna	Richard_Swabs_SRR1616445
SRR1616401			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Antidesma_sp.	SRR1616401.fna	Richard_Swabs_SRR1616401
SRR1616540			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Hedyotis_terminalis	SRR1616540.fna	Richard_Swabs_SRR1616540
SRR1616348			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Hedyotis_terminalis	SRR1616348.fna	Richard_Swabs_SRR1616348
SRR1616454			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Antidesma_sp.	SRR1616454.fna	Richard_Swabs_SRR1616454
SRR1616311			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Antidesma_sp.	SRR1616311.fna	Richard_Swabs_SRR1616311
SRR1616533			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Christmas_berry	SRR1616533.fna	Richard_Swabs_SRR1616533
SRR1616252			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Christmas_berry	SRR1616252.fna	Richard_Swabs_SRR1616252
SRR1616552			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Melicope_oahuensis	SRR1616552.fna	Richard_Swabs_SRR1616552
SRR1616366			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Melicope_oahuensis	SRR1616366.fna	Richard_Swabs_SRR1616366
SRR1616505			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Psidium_cattleianum	SRR1616505.fna	Richard_Swabs_SRR1616505
SRR1616369			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Psidium_cattleianum	SRR1616369.fna	Richard_Swabs_SRR1616369
SRR1616458			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Coprosma_longifolia	SRR1616458.fna	Richard_Swabs_SRR1616458
SRR1616291			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Coprosma_longifolia	SRR1616291.fna	Richard_Swabs_SRR1616291
SRR1616462			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Metrosideros_polymorpha	SRR1616462.fna	Richard_Swabs_SRR1616462
SRR1616207			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Metrosideros_polymorpha	SRR1616207.fna	Richard_Swabs_SRR1616207
SRR1616481			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Christmas_berry	SRR1616481.fna	Richard_Swabs_SRR1616481
SRR1616297			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Christmas_berry	SRR1616297.fna	Richard_Swabs_SRR1616297
SRR1616532			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		ie_ie	SRR1616532.fna	Richard_Swabs_SRR1616532
SRR1616228			Richard_Swabs	Plant_Epiphyte	Oahu	21.412597	-158.086166	41289	ITS1F	ITS2	Terrestrial		Antidesma_sp.	SRR1616228.fna	Richard_Swabs_SRR1616228
