Predator_individual_number,Predator_order,Predator_family,Predator_species,Predator_development_stage,Predator_body_length_[mm,_measured],Predator_body_mass_[mg,_calculated]_,Predator_sex,Study_site,Collection_date,Consumption_prey_Araneae,Consumption_prey_Diptera,Consumption_prey_Gamasidae,Consumption_prey_Isopoda,Consumption_prey_Lumbricidae,Consumption_prey_Oribatida,Consumption_prey_Staphylinidae,Consumption_prey_Collembola,Consumption_prey_Ceratophysella_denticulata,Consumption_prey_Folsomia_quadrioculata,Consumption_prey_Lepidocyrtus_lanuginosus,Consumption_prey_Protaphorura_armata,Consumption_prey_Pogonognathellus_longicornis,Consumption_prey_Lithobiidae
2684,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,7,5.334614259,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2685,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,7,5.334614259,NA,HEW11,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2686,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,6,3.72616092,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2688,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,8,7.279457173,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
2690,Lithobiomorpha,Lithobiidae,Lithobius_muticus,adult,10,12.23742378,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2693,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2694,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,13,22.53885726,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2696,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,NA,HEW11,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2697,Lithobiomorpha,Lithobiidae,Lithobius_muticus,adult,13,22.53885726,NA,HEW11,28.10.2009,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,,
2700,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,NA,HEW11,28.10.2009,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,,
2702,Lithobiomorpha,Lithobiidae,Lithobius_dentatus,adult,18,48.07547106,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2703,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2706,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,8,7.279457173,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2711,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2712,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2713,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,NA,HEW11,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2714,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,7,5.334614259,NA,HEW11,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2768,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2769,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,NA,HEW12,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2770,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,NA,HEW12,28.10.2009,0,1,0,0,1,0,0,1,0,0,0,0,0,NA,,
2771,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,7,5.334614259,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2772,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,NA,HEW12,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2774,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2776,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
2777,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,9,9.575773902,NA,HEW12,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2778,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,NA,HEW12,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2779,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,NA,HEW12,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2782,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,7,5.334614259,NA,HEW12,28.10.2009,0,1,0,0,1,0,0,1,0,0,0,0,0,NA,,
2784,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,8,7.279457173,NA,HEW12,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2785,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,8,7.279457173,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2790,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,adult,10,12.23742378,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2792,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,8,7.279457173,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2793,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,8,7.279457173,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2796,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2799,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2800,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,6,3.72616092,NA,HEW12,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2801,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,NA,HEW12,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2802,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2803,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,NA,HEW12,28.10.2009,0,1,0,0,1,0,0,1,0,0,0,0,0,NA,,
2807,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
2808,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,6,3.72616092,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2809,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,6,3.72616092,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2813,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2815,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,adult,14,26.782597,NA,HEW12,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2816,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2817,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,8,7.279457173,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2818,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,NA,HEW12,28.10.2009,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,,
2819,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,NA,HEW12,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2820,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,6,3.72616092,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2821,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,6,3.72616092,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2822,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,6,3.72616092,NA,HEW12,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2825,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,adult,12,18.70730693,NA,HEW12,28.10.2009,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,,
2826,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2827,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2828,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,9,9.575773902,NA,HEW12,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2898,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,NA,HEW36,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2899,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,NA,HEW36,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2902,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,6,3.72616092,NA,HEW36,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2907,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW36,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2908,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,subadult,5,2.437475925,NA,HEW36,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2909,Lithobiomorpha,Lithobiidae,Lithobius_aulacopus,subadult,5,2.437475925,NA,HEW36,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2910,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,NA,HEW36,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2915,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,NA,HEW36,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2916,Lithobiomorpha,Lithobiidae,Lithobius_aulacopus,adult,11,15.27726276,NA,HEW36,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2918,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,NA,HEW36,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2922,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,5,2.437475925,NA,HEW36,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2923,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,6,3.72616092,NA,HEW36,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2924,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,6,3.72616092,NA,HEW36,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2926,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,adult,12,18.70730693,NA,HEW36,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2927,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,NA,HEW36,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
2928,Lithobiomorpha,Lithobiidae,Lithobius_dentatus,adult,12,18.70730693,NA,HEW36,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2929,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,NA,HEW36,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2931,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,NA,HEW36,28.10.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
2932,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,NA,HEW36,28.10.2009,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
3005,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,female,HEW10,3.11.2009,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,,
3006,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,male,HEW10,3.11.2009,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3007,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,male,HEW10,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3008,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,9,9.575773902,female,HEW10,3.11.2009,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,,
3009,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,13,22.53885726,male,HEW10,3.11.2009,0,1,0,0,0,0,0,1,0,0,0,1,0,NA,,
3011,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,7,5.334614259,NA,HEW10,3.11.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3012,Lithobiomorpha,Lithobiidae,Lithobius_muticus,adult,10,12.23742378,female,HEW10,3.11.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3013,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW10,3.11.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3014,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,female,HEW10,3.11.2009,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,,
3015,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3016,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW10,3.11.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3017,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,NA,HEW10,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3020,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,13,22.53885726,male,HEW10,3.11.2009,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,,
3022,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,female,HEW10,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3023,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,8,7.279457173,male,HEW10,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3025,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,9,9.575773902,female,HEW10,3.11.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3096,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,5,2.437475925,male,HEW12,3.11.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3097,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,NA,HEW12,3.11.2009,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3098,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,male,HEW12,3.11.2009,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,,
3099,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,subadult,8,7.279457173,male,HEW12,3.11.2009,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,,
3100,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,female,HEW12,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3102,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW12,3.11.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3103,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW12,3.11.2009,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3104,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,13,22.53885726,male,HEW12,3.11.2009,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,,
3105,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,9,9.575773902,male,HEW12,3.11.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
3106,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,female,HEW12,3.11.2009,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,,
3107,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,female,HEW12,3.11.2009,0,0,0,0,1,0,0,1,0,1,0,0,0,NA,,
3108,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,subadult,5,2.437475925,NA,HEW12,3.11.2009,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
3109,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,6,3.72616092,male,HEW12,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3110,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,female,HEW12,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3111,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,13,22.53885726,male,HEW12,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3112,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW12,3.11.2009,0,1,0,0,0,0,0,1,0,1,0,0,0,NA,,
3113,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,female,HEW12,3.11.2009,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3115,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,6,3.72616092,female,HEW12,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3118,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,NA,NA,NA,HEW12,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3139,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,8,7.279457173,NA,HEW36,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3140,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,8,7.279457173,male,HEW36,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3143,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,female,HEW36,3.11.2009,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,,
3144,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,14,26.782597,male,HEW36,3.11.2009,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
3145,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,14,26.782597,male,HEW36,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3147,Lithobiomorpha,Lithobiidae,Lithobius_sp,adult,9,9.575773902,NA,HEW36,3.11.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3160,Lithobiomorpha,Lithobiidae,Lithobius_muticus,subadult,8,7.279457173,male,HEW10,15.6.2010,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3161,Lithobiomorpha,Lithobiidae,Lithobius_aulacopus,adult,10,12.23742378,male,HEW10,15.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3162,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW10,15.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3163,Lithobiomorpha,Lithobiidae,Lithobius_dentatus,adult,13,22.53885726,male,HEW10,15.6.2010,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3164,Lithobiomorpha,Lithobiidae,Lithobius_sp,adult,8,7.279457173,NA,HEW10,15.6.2010,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,,
3165,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,15,31.4486695,male,HEW10,15.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3166,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,8,7.279457173,male,HEW10,15.6.2010,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
3167,Lithobiomorpha,Lithobiidae,Lithobius_curtipes,adult,11,15.27726276,male,HEW10,15.6.2010,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,,
3169,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,7,5.334614259,male,HEW10,15.6.2010,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3170,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW10,15.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3171,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,male,HEW10,15.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3172,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,subadult,7,5.334614259,male,HEW10,15.6.2010,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3173,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,15.6.2010,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
3174,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW10,15.6.2010,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,,
3176,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,male,HEW10,15.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3177,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,female,HEW10,15.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3178,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,11,15.27726276,male,HEW10,15.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3180,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW10,15.6.2010,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,,
3182,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW10,15.6.2010,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3183,Lithobiomorpha,Lithobiidae,Lithobius_muticus,adult,10,12.23742378,male,HEW10,15.6.2010,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,,
3202,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,male,HEW11,15.6.2010,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3204,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,subadult,5,2.437475925,female,HEW11,15.6.2010,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3205,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,15.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3206,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,15.6.2010,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
3207,Lithobiomorpha,Lithobiidae,Lithobius_aulacopus,adult,9,9.575773902,male,HEW11,15.6.2010,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,,
3208,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,subadult,5,2.437475925,male,HEW11,15.6.2010,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
3209,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,12,18.70730693,female,HEW11,15.6.2010,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
3210,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,NA,HEW11,15.6.2010,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3211,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,male,HEW11,15.6.2010,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3212,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,male,HEW11,15.6.2010,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3213,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,6,3.72616092,male,HEW11,15.6.2010,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3214,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,15,31.4486695,male,HEW11,15.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3215,Lithobiomorpha,Lithobiidae,Lithobius_nodulipes,adult,10,12.23742378,male,HEW11,15.6.2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,
3216,Lithobiomorpha,Lithobiidae,Lithobius_crassipes,adult,7,5.334614259,male,HEW11,15.6.2010,0,0,0,0,1,0,0,1,0,1,0,0,0,NA,,
3217,Lithobiomorpha,Lithobiidae,Lithobius_mutabilis,adult,10,12.23742378,female,HEW11,15.6.2010,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,,
3218,Lithobiomorpha,Lithobiidae,Lithobius_sp,subadult,5,2.437475925,NA,HEW11,15.6.2010,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,,
