Student,ID,SIS.User.ID,SIS.Login.ID,Root.Account,Section,Exam.1..4348457.,Exam.2..4348458.,Exam.3..4348459.,Exam.4..4348460.,YOUR.CHOICE....Citation.Manager..4348466.,YOUR.CHOICE....Critical.Book.Report.s...4348467.,YOUR.CHOICE....Zoo.Aquarium.Visit..4348483.,YOUR.CHOICE....Mauna.Loa.Observatory..4348473.,YOUR.CHOICE....Greenhouse.or.Herbarium.visit..4348470.,YOUR.CHOICE....Interviews..4348471.,YOUR.CHOICE....Final..4348469.,YOUR.CHOICE....Midterm..4348474.,YOUR.CHOICE....Antarctica..4348464.,YOUR.CHOICE....Cave.of.Forgotten.Dreams..4348465.,YOUR.CHOICE....Antibiotic.Resistance.Podcast..4519539.,Pre.Test..4348462.,Post.Test..4348461.,Actual.PreTest.Score...not.what.your.grade.is...4348454.,X1..Quiz.1..4348449.,X2..Quiz.2..4348450.,X3..Quiz.3..4348451.,X4..Quiz.4..4348452.,X5..Quiz.5..4348453.,X6..Quiz.6..4348444.,X7..Quiz.7..4348445.,X8..Quiz.8..4348448.,X9..Quiz.9..4348446.,X10..Quiz.10..4348447.,Your.Choice.Current.Points,Your.Choice.Final.Points,Your.Choice.Current.Score,Your.Choice.Unposted.Current.Score,Your.Choice.Final.Score,Your.Choice.Unposted.Final.Score,Exams.Current.Points,Exams.Final.Points,Exams.Current.Score,Exams.Unposted.Current.Score,Exams.Final.Score,Exams.Unposted.Final.Score,Pre..Post.Tests.Current.Points,Pre..Post.Tests.Final.Points,Pre..Post.Tests.Current.Score,Pre..Post.Tests.Unposted.Current.Score,Pre..Post.Tests.Final.Score,Pre..Post.Tests.Unposted.Final.Score,Quizzes.Current.Points,Quizzes.Final.Points,Quizzes.Current.Score,Quizzes.Unposted.Current.Score,Quizzes.Final.Score,Quizzes.Unposted.Final.Score,Bonus.Current.Points,Bonus.Final.Points,Bonus.Current.Score,Bonus.Unposted.Current.Score,Bonus.Final.Score,Bonus.Unposted.Final.Score,Current.Points,Final.Points,Current.Score,Unposted.Current.Score,Final.Score,Unposted.Final.Score
???,???,667198,10754646,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,24,4,10,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,14.00,14.00,70.00,70.00,14.00,14.00,0.00,0.00,,,,,64.00,64.00,91.43,91.43,9.14,9.14
???,???,636075,10735072,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,10,NA,50,20,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,10.00,10.00,50.00,50.00,10.00,10.00,0.00,0.00,,,,,60.00,60.00,85.71,85.71,8.57,8.57
???,???,624278,10724298,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,28,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,8.00,8.00,80.00,80.00,8.00,8.00,0.00,0.00,,,,,58.00,58.00,96.67,96.67,8.29,8.29
???,???,729347,10814096,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,6.00,6.00,60.00,60.00,6.00,6.00,0.00,0.00,,,,,56.00,56.00,93.33,93.33,8.00,8.00
???,???,690125,10776856,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,28,2,6,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,8.00,8.00,40.00,40.00,8.00,8.00,0.00,0.00,,,,,58.00,58.00,82.86,82.86,8.29,8.29
???,???,558021,10660097,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,16,2,6,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,8.00,8.00,40.00,40.00,8.00,8.00,0.00,0.00,,,,,58.00,58.00,82.86,82.86,8.29,8.29
???,???,786856,10871035,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,2.00,2.00,20.00,20.00,2.00,2.00,0.00,0.00,,,,,52.00,52.00,86.67,86.67,7.43,7.43
???,???,759634,10843986,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,28,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,10.00,10.00,100.00,100.00,10.00,10.00,0.00,0.00,,,,,60.00,60.00,100.00,100.00,8.57,8.57
???,???,619586,10719606,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,10,NA,50,30,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,10.00,10.00,100.00,100.00,10.00,10.00,0.00,0.00,,,,,60.00,60.00,100.00,100.00,8.57,8.57
???,???,751466,10835843,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,18,4,10,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,14.00,14.00,70.00,70.00,14.00,14.00,0.00,0.00,,,,,64.00,64.00,91.43,91.43,9.14,9.14
???,???,502168,10604645,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,18,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,8.00,8.00,80.00,80.00,8.00,8.00,0.00,0.00,,,,,58.00,58.00,96.67,96.67,8.29,8.29
???,???,711462,10797654,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,16,4,10,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,14.00,14.00,70.00,70.00,14.00,14.00,0.00,0.00,,,,,64.00,64.00,91.43,91.43,9.14,9.14
???,???,682209,10769391,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,20,8,10,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,18.00,18.00,90.00,90.00,18.00,18.00,0.00,0.00,,,,,68.00,68.00,97.14,97.14,9.71,9.71
???,???,751111,10835489,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,50,18,4,8,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,12.00,12.00,60.00,60.00,12.00,12.00,0.00,0.00,,,,,62.00,62.00,88.57,88.57,8.86,8.86
???,???,750780,10835161,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,50,20,8,10,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,18.00,18.00,90.00,90.00,18.00,18.00,0.00,0.00,,,,,68.00,68.00,97.14,97.14,9.71,9.71
???,???,721284,10806029,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,20,2,8,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,50.00,50.00,100.00,100.00,50.00,50.00,10.00,10.00,50.00,50.00,10.00,10.00,0.00,0.00,,,,,60.00,60.00,85.71,85.71,8.57,8.57
???,???,NA,68cdd5368a8b2325df43315e3abe888ed265bdd6,uvu.instructure.com,BIOL-1620-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00
