Family,Species_number,Species_name,English_name,Clutch_size,Egg_mass,Mating_System,mass,wing,tarsus,bill,tail,Gender
115,5255,Lichenostomus leucotis,White-eared Honeyeater,2.09,NA,2,26.2,95.2,20.9,18.8,95.2,Male
115,5256,Lichenostomus flavicollis,Yellow-throated Honeyeater,2.4,NA,4,33.1,103.3,24.8,20.6,102.2,Male
115,5257,Lichenostomus melanops,Yellow-tufted Honeyeater,2,NA,2,34.1,98,28.9,21,89.9,Male
115,5258,Lichenostomus cratitius,Purple-gaped Honeyeater,2,NA,2,21.9,83.4,20.8,19,NA,Male
115,5259,Lichenostomus keartlandi,Grey-headed Honeyeater,2,NA,NA,15.7,76.8,18.5,16.8,NA,Male
115,5260,Lichenostomus flavescens,Yellow-tinted Honeyeater,1.6,NA,2,12.9,73.2,16.5,15.8,NA,Male
115,5261,Lichenostomus fuscus,Fuscous Honeyeater,2.4,NA,2,19.3,82.6,18.1,15.6,NA,Male
115,5262,Lichenostomus plumulus,Grey-fronted Honeyeater,2,NA,NA,15.8,77,18.4,16.4,NA,Male
115,5263,Lichenostomus ornatus,Yellow-plumed Honeyeater,2.09,NA,2,18.4,83.6,18.6,15.8,75.2,Male
115,5264,Lichenostomus penicillatus,White-plumed Honeyeater,2.31,2.45,2,20.6,84.1,19.5,16.5,NA,Male
115,5265,Xanthotis flaviventer,Tawny-breasted Honeyeater,2,NA,2,39,98.9,26.6,28.6,78.1,Male
115,5266,Xanthotis polygramma,Spotted Honeyeater,NA,NA,2,NA,NA,NA,NA,NA,Male
115,5267,Xanthotis macleayana,Macleay Honeyeater,2,NA,2,33.1,89.9,26.2,27.2,74.8,Male
115,5271,Melithreptus lunatus,White-naped Honeyeater,2.67,1.9,2,14,78.1,18.2,15.1,61.9,Male
115,5272,Melithreptus affinis,Black-headed Honeyeater,3,2.07,2,15.7,78.7,19.2,14.3,62.2,Male
115,5273,Melithreptus albogularis,White-throated Honeyeater,2,1.77,2,11.6,72.4,16.2,15.1,53.3,Male
115,5275,Melithreptus gularis,Black-chinned Honeyeater,2.5,2.59,NA,18.2,84.6,20,17.2,67.5,Male
115,5276,Melithreptus validirostris,Strong-billed Honeyeater,3,3.01,2,26.4,85.1,21.7,21.1,68.6,Male
115,5277,Melithreptus brevirostris,Brown-headed Honeyeater,3,1.51,2,12.5,69.1,16.6,14,57.4,Male
115,5278,Notiomystis cincta,Stitchbird,4,3.1,2,40.2,103,28.2,21.5,78.2,Male
115,5280,Pycnopygius cinereus,Marbled Honeyeater,NA,2.95,2,NA,NA,NA,NA,NA,Male
115,5283,Philemon meyeri,Meyer's Friarbird,NA,7.55,2,NA,NA,NA,NA,NA,Male
115,5287,Philemon citreogularis,Little Friarbird,2.42,5.22,2,62.6,132.4,27.4,32.5,109,Male
115,5291,Philemon buceroides,Helmeted Friarbird,3.69,10.92,2,101.2,141.7,35.1,41.1,127.5,Male
115,5296,Philemon argenticeps,Silver-crowned Friarbird,2,6.91,2,85.4,139.8,29.3,37.5,114.8,Male
115,5297,Philemon corniculatus,Noisy Friarbird,3.08,8.55,2,105.8,154.2,31.9,36.4,119.8,Male
115,5303,Ptiloprora guisei,Rufous-backed Honeyeater,NA,2.68,2,NA,NA,NA,NA,NA,Male
115,5309,Melidectes ochromelas,Cinnamon-browed Melidectes,NA,7.75,2,NA,NA,NA,NA,NA,Male
115,5311,Melidectes belfordi,Belford's Melidectes,NA,NA,2,NA,NA,NA,NA,NA,Male
115,5314,Melidectes torquatus,Ornate Melidectes,NA,NA,2,NA,NA,NA,NA,NA,Male
115,5317,Melipotes fumigatus,Smoky Honeyeater,NA,6.1,2,NA,NA,NA,NA,NA,Male
115,5329,Phylidonyris pyrrhoptera,Crescent Honeyeater,2.52,2,2,18.2,76.1,20.2,20.7,71,Male
115,5330,Phylidonyris novaehollandiae,New Holland Honeyeater,2.5,2.56,2,20.2,77.3,22.5,23.3,81.1,Male
115,5331,Phylidonyris nigra,White-cheeked Honeyeater,2.04,2.3,2,20.5,75.8,21.2,24.1,71,Male
115,5332,Phylidonyris albifrons,White-fronted Honeyeater,2.04,2.31,2,18.5,81.6,21.1,21.6,75.7,Male
115,5335,Phylidonyris melanops,Tawny-crowned Honeyeater,2,2.64,2,19.3,80.6,22.4,22.9,68.9,Male
115,5336,Ramsayornis modestus,Brown-backed Honeyeater,2.09,1.69,NA,12.6,65.6,16,17.1,43.5,Male
115,5337,Ramsayornis fasciatus,Bar-breasted Honeyeater,2.05,1.89,NA,13.2,70.9,17.3,17.7,49.7,Male
115,5338,Plectorhyncha lanceolata,Striped Honeyeater,3.04,3.62,NA,42.4,114,27.3,22.1,99.3,Male
115,5339,Conopophila albogularis,Rufous-banded Honeyeater,2.14,1.59,2,11.9,64.6,17.6,14.7,NA,Male
115,5340,Conopophila rufogularis,Rufous-throated Honeyeater,2.5,1.56,2,11,71.3,16.9,13.8,NA,Male
115,5341,Conopophila whitei,Grey Honeyeater,2,1.4,NA,9.6,62.4,15.7,11.3,NA,Male
115,5342,Grantiella picta,Painted Honeyeater,2,2.18,2,22.8,89.4,17.8,16.9,54.5,Male
115,5343,Xanthomyza phrygia,Regent Honeyeater,2.2,3.93,2,43.7,115.2,22.9,22.8,96.7,Male
115,5344,Acanthorhynchus tenuirostris,Eastern Spinebill,2.2,1.72,2,10.6,63.8,19.9,24.9,62.1,Male
115,5345,Acanthorhynchus superciliosus,Western Spinebill,1.56,1.73,2,10.5,62.2,20,24.6,58.3,Male
115,5346,Entomyzon cyanotis,Blue-faced Honeyeater,2.56,7.9,2,114,155,34.8,37.4,133.1,Male
115,5347,Manorina melanophrys,Bell Miner,2,3.15,2,32.3,96.7,22.5,17.8,94,Male
115,5348,Manorina melanocephala,Noisy Miner,2.9,5.35,2,63.4,137.6,29.7,24.6,120.2,Male
115,5349,Manorina flavigula,Yellow-throated Miner,3.05,4.87,2,55.2,125.3,26.2,25.2,111.2,Male
115,5350,Anthornis melanura,New Zealand Bellbird,3.11,3.28,2,30.7,86.1,26.1,20.8,81.5,Male
115,5351,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,2.2,5.45,2,47.1,113.1,26.2,26.8,113.4,Male
115,5352,Anthochaera lunulata,Little Wattlebird,1,NA,NA,71.2,128.9,28.7,34.4,145.1,Male
115,5353,Anthochaera chrysoptera,Brush Wattlebird,2,5.52,2,77,125.5,29.4,31,140.9,Male
115,5354,Anthochaera carunculata,Red Wattlebird,2,7.69,2,114.1,152,34.5,33.9,163,Male
115,5355,Anthochaera paradoxa,Yellow Wattlebird,2.5,9.8,2,168.5,183.2,40.7,34.4,261,Male
115,5356,Prosthemadera novaeseelandiae,Tui,3,7.31,2,124.9,152.2,40.7,33.5,122.3,Male
115,5357,Epthianura tricolor,Crimson Chat,2.83,1.4,2,10.8,67.1,17.8,13.8,NA,Male
115,5358,Epthianura aurifrons,Orange Chat,2.88,1.56,2,10.6,63.1,17.5,12.6,NA,Male
115,5359,Epthianura crocea,Yellow Chat,3,1.13,2,9.3,59.5,17.2,13.4,35,Male
115,5360,Epthianura albifrons,White-fronted Chat,3,1.65,2,13.3,69.2,17.2,12,NA,Male
115,5361,Ashbyia lovensis,Gibberbird,3,2.38,NA,17.9,74.3,19.8,13.7,NA,Male
116,5362,Pardalotus punctatus,Spotted Pardalote,4,1.43,2,8.6,57.4,16.9,7.6,29.7,Male
116,5363,Pardalotus punctatus xanthopygus,Yellow-rumped pardalote,4.5,1.41,2,NA,NA,NA,NA,NA,Male
116,5363,Pardalotus quadragintus,Forty-spotted Pardalote,NA,1.4,2,11,NA,NA,NA,NA,Male
116,5364,Pardalotus rubricatus,Red-browed Pardalote,3.5,1.96,2,10.9,63.4,18.3,10,32.4,Male
116,5365,Pardalotus striatus,Striated Pardalote,4,1.9,2,11.9,65.1,18.7,8.9,34.8,Male
116,5366,Dasyornis longirostris,Western Bristlebird,2,3.95,2,NA,68.3,22.2,16.7,88.5,Male
116,5367,Dasyornis brachypterus,Eastern Bristlebird,2.5,5.1,2,40.5,76,25.7,18.2,108.6,Male
116,5368,Dasyornis broadbenti,Rufous Bristlebird,2,6.65,2,70.7,93,39.9,21.7,127.5,Male
116,5369,Pycnoptilus floccosus,Pilotbird,2,5.15,2,30.8,74,31.1,16.8,NA,Male
116,5370,Origma solitaria,Origma,3,2.57,NA,14.7,64.5,22.8,15.6,56.8,Male
116,5371,Oreoscopus gutturalis,Fernwren,2,3.25,NA,18.6,65.7,22.6,19,47.7,Male
116,5372,Crateroscelis murina,Rusty Mouse-warbler,NA,NA,2,NA,NA,NA,NA,NA,Male
116,5373,Crateroscelis nigrorufa,Bicolored Mouse-warbler,NA,NA,2,NA,NA,NA,NA,NA,Male
116,5374,Crateroscelis robusta,Mountain Mouse-warbler,NA,NA,2,NA,NA,NA,NA,NA,Male
116,5375,Sericornis citreogularis,Yellow-throated Scrubwren,2.5,3.88,2,16.9,67.2,27.9,14.9,NA,Male
116,5376,Sericornis frontalis,White-browed Scrubwren,3,2.45,2,13.3,57,21.8,14.3,47.8,Male
116,5377,Sericornis humilis,Brown Scrubwren,2.5,3.4,NA,19.6,61.4,25,15.8,NA,Male
116,5378,Sericornis keri,Atherton Scrubwren,2,NA,NA,12,59.6,23,14.6,NA,Male
116,5379,Sericornis beccarii,Beccari's Scrubwren,2.5,1.79,2,11.4,57.8,21.5,15.4,NA,Male
116,5381,Sericornis nouhuysi,Large Scrubwren,NA,3.22,2,NA,NA,NA,NA,NA,Male
116,5382,Sericornis magnirostris,Large-billed Scrubwren,3,2.1,2,9.9,56.8,20.8,15,NA,Male
116,5384,Sericornis perspicillatus,Buff-faced Scrubwren,NA,NA,2,NA,NA,NA,NA,NA,Male
116,5386,Sericornis papuensis,Papuan Scrubwren,NA,NA,2,NA,NA,NA,NA,NA,Male
116,5387,Sericornis spilodera,Pale-billed Scrubwren,NA,NA,2,NA,NA,NA,NA,NA,Male
116,5388,Acanthornis magnus,Scrubtit,3,1.8,2,10.8,57.5,22.6,15,NA,Male
116,5389,Pyrrholaemus brunneus,Redthroat,3,2.04,2,12.2,56.8,21.1,13.2,NA,Male
116,5390,Chthonicola sagittatus,Speckled Warbler,3,2.3,2,13.7,61,19.8,12,50.2,Male
116,5391,Calamanthus campestris,Rufous Calamanthus,3,NA,2,13.6,53.9,22.3,14.7,46.2,Male
116,5392,Calamanthus fuliginosus,Striated Calamanthus,3,2.97,NA,22.4,60.3,24.2,16.1,55,Male
116,5393,Hylacola pyrrhopygia,Chestnut-rumped Hylacola,2.5,2.15,NA,17.4,55,21.7,14.9,NA,Male
116,5394,Hylacola cautus,Shy Hylacola,3,2.68,2,14.5,55.2,22.5,15.5,NA,Male
116,5396,Acanthiza katherina,Mountain Thornbill,2.5,NA,NA,6.8,52.1,18.5,11.6,41.1,Male
116,5397,Acanthiza pusilla,Brown Thornbill,3,1.4,2,7.4,51.6,20.3,11,44.9,Male
116,5398,Acanthiza pusilla apicalis,Broad-tailed Thornbill,NA,NA,2,NA,NA,NA,NA,NA,Male
116,5398,Acanthiza ewingii,Tasmanian Thornbill,3.5,1.46,2,7.2,52.7,21.3,11,47.8,Male
116,5399,Acanthiza reguloides,Buff-rumped Thornbill,3.5,1.22,2,7.7,53.4,17.7,11.1,40.3,Male
116,5400,Acanthiza inornata,Western Thornbill,3,1.35,2,7.2,48.9,18,11.3,36.3,Male
116,5401,Acanthiza iredalei,Slender-billed Thornbill,3,0.93,NA,5.8,48.8,18.4,9.7,40.6,Male
116,5402,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,3.5,1.44,2,9.4,57.8,17.7,11.9,40.8,Male
116,5403,Acanthiza uropygialis,Chestnut-rumped Thornbill,3,1.18,2,6.5,51.2,18,10.3,39.1,Male
116,5404,Acanthiza nana,Yellow Thornbill,3,1.34,2,6.5,49.2,17.4,10,36,Male
116,5405,Acanthiza lineata,Striated Thornbill,3,1.32,2,7.6,53.1,17.5,10.2,39.4,Male
116,5406,Acanthiza robustirostris,Slaty-backed Thornbill,3,1.33,2,6.2,52,19.6,10.1,41.5,Male
116,5407,Smicrornis brevirostris,Weebill,3,1.03,2,6,50.1,15.6,7.8,35,Male
116,5408,Gerygone cinerea,Mountain Gerygone,NA,NA,2,NA,NA,NA,NA,NA,Male
116,5409,Gerygone chloronotus,Green-backed Gerygone,2.5,1.33,2,6.6,51.8,17,12,36.5,Male
116,5410,Gerygone palpebrosa,Fairy Gerygone,2,1.5,NA,7.5,54.4,17.8,12.6,39.8,Male
116,5411,Gerygone olivacea,White-throated Gerygone,3,1.4,2,6.3,56.1,16.8,12.4,40.7,Male
116,5412,Gerygone chrysogaster,Yellow-bellied Gerygone,NA,1.54,2,NA,NA,NA,NA,NA,Male
116,5413,Gerygone magnirostris,Large-billed Gerygone,2.5,1.33,2,7.5,53.9,17.2,12,43.6,Male
116,5414,Gerygone tenebrosa,Dusky Gerygone,2,NA,NA,8.3,57.8,20.6,13,43,Male
116,5419,Gerygone levigaster,Mangrove Gerygone,3,NA,2,6.4,52.7,17.7,11.7,40,Male
116,5420,Gerygone fusca,Western Gerygone,2.5,1.11,2,5.6,54.2,17.1,10.8,45.1,Male
116,5422,Gerygone mouki,Brown Gerygone,2.5,NA,2,5.2,50,17.7,10.8,41.7,Male
116,5423,Gerygone modesta,Norfolk Island Gerygone,3,NA,NA,7.4,54.6,19.8,13.3,48.4,Male
116,5424,Gerygone igata,Grey Gerygone,3.5,1.28,2,6,52.7,19.5,11.9,49.3,Male
116,5425,Gerygone albofrontata,Chatham Islands Gerygone,3,1.74,2,11.1,65.2,23.2,16.2,52.2,Male
116,5427,Aphelocephala leucopsis,Southern Whiteface,3.5,2,NA,13.3,59.1,18.3,10.4,NA,Male
116,5428,Aphelocephala pectoralis,Chestnut-breasted Whiteface,2.5,NA,2,NA,56.6,17.3,9.8,39.7,Male
116,5429,Aphelocephala nigricincta,Banded Whiteface,2.5,1.52,NA,10.8,56.3,18.1,10.5,38.5,Male
117,5431,Amalocichla incerta,Lesser Ground-robin,NA,NA,2,NA,NA,NA,NA,NA,Male
117,5433,Microeca fascinans,Jacky-winter,2,NA,2,15.7,89.4,17,13.9,57.3,Male
117,5435,Microeca flavigaster,Lemon-bellied Flyrobin,1,1.8,2,11.2,73.6,14,12.9,56.2,Male
117,5436,Microeca griseoceps,Yellow-legged Flyrobin,2,NA,NA,11.4,70.6,13.6,13.8,55.4,Male
117,5437,Microeca flavovirescens,Olive Flyrobin,NA,NA,2,NA,NA,NA,NA,NA,Male
117,5438,Microeca papuana,Canary Flyrobin,NA,NA,2,NA,NA,NA,NA,NA,Male
117,5439,Eugerygone rubra,Garnet Robin,NA,NA,2,NA,NA,NA,NA,NA,Male
117,5442,Petroica multicolor,Scarlet Robin,3,1.52,2,12.2,73.4,19.6,14.2,51.2,Male
117,5443,Petroica macrocephala,Tomtit,4,2.08,2,10.8,69.4,21,13.4,54.2,Male
117,5444,Petroica goodenovii,Red-capped Robin,2.5,1.35,2,8.6,62.9,17.2,12.7,47.4,Male
117,5445,Petroica phoenicea,Flame Robin,3,2.08,2,13.3,78.9,21.3,14.2,54.9,Male
117,5446,Petroica rosea,Rose Robin,2.5,1.48,2,8.3,65.7,15.5,12.5,57.6,Male
117,5447,Petroica rodinogaster,Pink Robin,3,1.9,2,9.9,68.2,19.2,13.3,57.8,Male
117,5448,Petroica australis,New Zealand Robin,2.5,4.5,2,37.5,100,37.4,21.1,76.2,Male
117,5449,Petroica traversi,Chatham Islands Robin,2,NA,2,NA,83.6,29.9,17.7,64,Male
117,5450,Melanodryas cucullata,Hooded Robin,2.5,2.9,2,24,97.1,22.6,17.5,70.6,Male
117,5451,Melanodryas vittata,Dusky Robin,3,3.19,2,26.9,88.9,24.5,18.4,62.8,Male
117,5452,Tregellasia leucops,White-faced Robin,2,2,2,15.9,79.4,20.6,16,50.3,Male
117,5453,Tregellasia capito,Pale-yellow Robin,2,2.3,2,14.4,75.7,20,15.2,56.5,Male
117,5454,Eopsaltria australis,Yellow Robin,2,2.73,2,22.2,84.6,22.3,17.7,67.2,Male
117,5455,Eopsaltria griseogularis,Grey-breasted Robin,2,NA,2,20.3,90.6,20.9,17.1,63.7,Male
117,5457,Eopsaltria georgiana,White-breasted Robin,2,2.59,2,20.8,78,23.3,17.7,67,Male
117,5458,Eopsaltria pulverulenta,Mangrove Robin,2,NA,NA,21.3,82.1,23.6,19.5,61.5,Male
117,5460,Poecilodryas hypoleuca,Black-sided Robin,NA,NA,2,NA,NA,NA,NA,NA,Male
117,5461,Poecilodryas superciliosa,White-browed Robin,2,2.04,2,21.8,87.8,22.4,18.4,65.2,Male
117,5464,Peneothello sigillatus,White-winged Robin,NA,NA,2,NA,NA,NA,NA,NA,Male
117,5466,Peneothello cyanus,Blue-grey Robin,NA,NA,2,NA,NA,NA,NA,NA,Male
117,5468,Heteromyias albispecularis,Ashy Robin,1.5,4.2,2,38,111,32.5,22.8,75.5,Male
117,5472,Drymodes superciliaris,Northern Scrub-Robin,2,4,2,44,105.7,42.3,19.6,101.3,Male
117,5473,Drymodes brunneopygia,Southern Scrub-Robin,1,4.36,2,36.8,96.7,37.7,18.1,96,Male
119,5484,Orthonyx temminckii,Logrunner,2,6.8,2,61.3,95.9,31.1,16.4,91.1,Male
119,5485,Orthonyx spaldingii,Chowchilla,1,11.8,2,187.1,135.1,44.2,24.2,108.7,Male
120,5487,Pomatostomus temporalis,Grey-crowned Babbler,3,5.25,2,67.1,116.5,33.4,32.9,111.5,Male
120,5488,Pomatostomus superciliosus,White-browed Babbler,3,3.58,2,44.4,89.9,29.4,30,80.8,Male
120,5489,Pomatostomus halli,Hall's Babbler,2,NA,2,40,84.3,23.5,27.1,87.4,Male
120,5490,Pomatostomus ruficeps,Chestnut-crowned Babbler,4,4.15,2,54.5,87.9,28.6,29.7,86.8,Male
121,5493,Lanius collurio,Red-backed Shrike,5,3.15,NA,28.9,94.9,24,18.5,76.5,Male
121,5494,Lanius isabellinus,Rufous-tailed Shrike,NA,NA,NA,31.5,93.7,24.8,17.9,80.6,Male
121,5495,Lanius cristatus,Brown Shrike,NA,3.2,2,34.5,87.9,25.2,20.1,84.5,Male
121,5497,Lanius gubernator,Emin's Shrike,NA,NA,NA,NA,NA,NA,NA,NA,Male
121,5498,Lanius souzae,Souza's Shrike,2.6,2.9,NA,27,81.3,NA,NA,81.6,Male
121,5500,Lanius schach,Long-tailed Shrike,NA,4.85,2,38,97.7,29.1,21.3,111.2,Male
121,5503,Lanius minor,Lesser Grey Shrike,5.5,4.3,NA,45.9,119.3,25.3,21,91.4,Male
121,5504,Lanius ludovicianus,Loggerhead Shrike,5.4,4.6,NA,NA,96.4,NA,12.8,98.9,Male
121,5505,Lanius excubitor,Northern Shrike,5.5,5.3,NA,NA,113.8,27.4,23,109.1,Male
121,5507,Lanius excubitoroides,Grey-backed Fiscal,2.8,4.24,NA,55.3,113,NA,NA,139,Male
121,5508,Lanius cabanisi,Long-tailed Fiscal,3,4.6,NA,77.3,NA,NA,30,NA,Male
121,5509,Lanius dorsalis,Teita Fiscal,3.5,NA,NA,56.3,NA,NA,NA,NA,Male
121,5510,Lanius somalicus,Somali Fiscal,4,4.2,NA,56.3,NA,NA,NA,NA,Male
121,5511,Lanius mackinnoni,Mackinnon's Shrike,2.5,3.35,NA,33.3,100.5,NA,NA,100.5,Male
121,5512,Lanius collaris,Common Fiscal,3,4.1,2,41.8,NA,NA,NA,NA,Male
121,5513,Lanius newtoni,Newton's Fiscal,NA,NA,NA,NA,93,NA,13.8,114,Male
121,5515,Lanius senator,Woodchat Shrike,4.9,3.4,NA,34.6,100.5,24.6,18.8,78,Male
121,5516,Lanius nubicus,Masked Shrike,5.5,2.65,NA,21.6,90.7,22.7,18.2,86.6,Male
121,5517,Corvinella corvina,Yellow-billed Shrike,4,4.16,NA,NA,124.5,31,17.25,NA,Male
121,5518,Corvinella melanoleuca,Magpie Shrike,NA,5.5,NA,82.3,140,NA,NA,NA,Male
121,5519,Eurocephalus rueppelli,White-rumped Shrike,NA,6.3,NA,48.4,NA,NA,NA,NA,Male
121,5520,Eurocephalus anguitimens,White-crowned Shrike,3.5,6.11,NA,68,NA,NA,NA,NA,Male
122,5527,Vireo brevipennis,Slaty Vireo,NA,NA,2,NA,NA,NA,NA,NA,Male
122,5528,Vireo bellii,Bell's Vireo,3.4,1.48,2,10.3,NA,NA,NA,NA,Male
122,5529,Vireo atricapillus,Black-capped Vireo,4,1.59,2,9.2,55.52,19.13,7.81,43.8,Male
122,5530,Vireo nelsoni,Dwarf Vireo,NA,NA,2,NA,NA,NA,NA,NA,Male
122,5531,Vireo huttoni,Hutton's Vireo,4,1.65,2,10.8,60.5,19.5,NA,48,Male
122,5532,Vireo carmioli,Yellow-winged Vireo,NA,NA,2,NA,NA,NA,NA,NA,Male
122,5533,Vireo griseus,White-eyed Vireo,3.74,1.95,2,11.5,61.3,NA,10,47.7,Male
122,5534,Vireo pallens,Mangrove Vireo,NA,NA,2,NA,NA,NA,NA,NA,Male
122,5535,Vireo bairdi,Cozumel Vireo,NA,NA,2,NA,NA,NA,NA,NA,Male
122,5537,Vireo crassirostris,Thick-billed Vireo,NA,2.78,2,NA,NA,NA,NA,NA,Male
122,5538,Vireo caribaeus,St. Andrew Vireo,NA,NA,2,NA,NA,NA,NA,NA,Male
122,5539,Vireo vicinior,Grey Vireo,3.07,1.8,2,12.1,65,19.6,NA,59.5,Male
122,5541,Vireo modestus,Jamaican Vireo,NA,2.2,2,NA,NA,NA,NA,NA,Male
122,5543,Vireo latimeri,Puerto Rican Vireo,NA,NA,2,NA,NA,NA,NA,NA,Male
122,5545,Vireo cassinii,Cassin's Vireo,3.61,2.14,NA,NA,NA,NA,NA,51.5,Male
122,5546,Vireo plumbeus,Plumbeous Vireo,3.74,NA,NA,15.8,80.1,19.9,10.6,57.4,Male
122,5547,Vireo solitarius,Blue-headed Vireo,3.86,2.16,2,15.3,74.1,18,9.8,52.4,Male
122,5548,Vireo flavifrons,Yellow-throated Vireo,3.6,2.4,2,NA,75.8,18.9,11.2,49.2,Male
122,5549,Vireo philadelphicus,Philadelphia Vireo,3.65,1.9,2,NA,68.3,17.2,13.5,45.9,Male
122,5550,Vireo olivaceus,Red-eyed Vireo,3.18,2.33,2,17.2,NA,18.6,NA,52.1,Male
122,5553,Vireo altiloquus,Black-whiskered Vireo,2.66,2.7,2,NA,81,19.9,16.7,53.8,Male
122,5554,Vireo magister,Yucatan Vireo,NA,NA,2,NA,NA,NA,NA,NA,Male
122,5556,Vireo gilvus,Eastern Warbling-Vireo,3.42,1.66,2,11.3,65.53,NA,NA,48.5,Male
122,5568,Hylophilus aurantiifrons,Golden-fronted Greenlet,NA,1.49,2,NA,NA,NA,NA,NA,Male
122,5571,Hylophilus ochraceiceps,Tawny-crowned Greenlet,NA,1.95,2,NA,NA,NA,NA,NA,Male
122,5573,Hylophilus decurtatus minor,Lesser Greenlet ssp.,NA,1.66,2,NA,NA,NA,NA,NA,Male
123,5574,Psophodes olivaceus,Eastern Whipbird,2,5.94,2,68.2,99.9,32.9,23.8,143.4,Male
123,5575,Psophodes nigrogularis,Western Whipbird,2,5.95,2,46,78.8,28.2,21.4,113.8,Male
123,5576,Psophodes occidentalis,Chiming Wedgebill,2.5,NA,NA,43.3,82.9,25.1,16.4,103.7,Male
123,5577,Psophodes cristatus,Chirruping Wedgebill,2.5,3.9,2,42.4,82.9,23.9,15.8,99.4,Male
123,5578,Cinclosoma punctatum,Spotted Quail-thrush,2,9,2,119.5,113.7,32.9,22.3,112.2,Male
123,5579,Cinclosoma castanotus,Chestnut Quail-thrush,2,7.55,NA,74.6,101.8,30.4,22,100.3,Male
123,5580,Cinclosoma castaneothorax,Chestnut-breasted Quail-thrush,2,NA,2,60.8,93.6,29.7,19.6,98.8,Male
123,5581,Cinclosoma cinnamomeum,Cinnamon Quail-thrush,2,8,2,59.1,87.6,27.6,19.4,79.8,Male
123,5582,Cinclosoma ajax,Painted Quail-thrush,NA,NA,2,NA,NA,NA,NA,NA,Male
123,5584,Ptilorrhoa caerulescens,Blue Jewel-babbler,NA,NA,2,NA,NA,NA,NA,NA,Male
123,5589,Struthidea cinerea,Apostlebird,NA,NA,2,NA,NA,NA,NA,NA,Male
123,5590,Daphoenositta chrysoptera,Varied Sittella,3,NA,2,11.7,80.6,14.5,16.2,38,Male
123,5592,Mohoua albicilla,Whitehead,3,2.65,2,18,72.5,26.8,13.9,67.7,Male
123,5593,Mohoua ochrocephala,Yellowhead,3,3.55,2,29.5,82.6,33,15.1,65.3,Male
123,5594,Mohoua novaeseelandiae,Pipipi,3,2,2,13.4,61,27.3,13,61.4,Male
123,5595,Falcunculus frontatus,Crested Shrike-tit,3,3.26,2,30.5,93.4,20.5,19.3,84.1,Male
123,5596,Oreoica gutturalis,Crested Bellbird,2.5,6.25,2,64.4,108.9,27.9,21.1,78.6,Male
123,5601,Aleadryas rufinucha,Rufous-naped Whistler,NA,NA,2,NA,NA,NA,NA,NA,Male
123,5602,Pachycephala olivacea,Olive Whistler,2.5,5.6,2,41.1,97.7,29.7,19,91,Male
123,5603,Pachycephala rufogularis,Red-lored Whistler,2,3.44,2,36.9,112.2,25.2,19.4,84.7,Male
123,5604,Pachycephala inornata,Gilbert's Whistler,2.5,3.6,2,30.9,101.6,24.5,17.6,91.8,Male
123,5616,Pachycephala simplex,Brown Whistler,2,2.84,2,16.8,78.5,18.7,15.6,57.3,Male
123,5618,Pachycephala pectoralis,Golden Whistler,2.5,3.66,2,26.7,98.5,21.7,16.2,NA,Male
123,5619,Pachycephala soror,Sclater's Whistler,NA,4.13,2,NA,NA,NA,NA,NA,Male
123,5621,Pachycephala melanura,Black-tailed Whistler,2.5,NA,NA,23.6,86.2,23,19.4,65.4,Male
123,5625,Pachycephala schlegelii,Regent Whistler,NA,NA,2,NA,NA,NA,NA,NA,Male
123,5631,Pachycephala monacha,Black-headed Whistler,NA,NA,2,NA,NA,NA,NA,NA,Male
123,5633,Pachycephala rufiventris,Rufous Whistler,2.5,3.28,2,24.4,95,20.7,17,71.9,Male
123,5634,Pachycephala lanioides,White-breasted Whistler,2,4.55,2,40.9,99.6,25.9,25.2,80,Male
123,5636,Colluricincla megarhyncha,Little Shrike-thrush,2.5,4.4,2,35,93.9,25.7,23.2,NA,Male
123,5637,Colluricincla boweri,Bower's Shrike-thrush,2,6.15,NA,43.3,105.9,27.9,26.5,26.5,Male
123,5638,Colluricincla woodwardi,Sandstone Shrike-thrush,2.5,6.14,2,54.9,126.1,28.9,30.7,116,Male
123,5639,Colluricincla harmonica,Grey Shrike-thrush,3,6.81,2,69.2,131.7,30.5,27.1,NA,Male
123,5644,Pitohui ferrugineus,Rusty Pitohui,NA,NA,2,NA,NA,NA,NA,NA,Male
123,5646,Pitohui nigrescens,Black Pitohui,NA,NA,2,NA,NA,NA,NA,NA,Male
123,5647,Eulacestoma nigropectus,Wattled Ploughbill,NA,NA,2,NA,NA,NA,NA,NA,Male
123,5651,Gymnorhinus cyanocephalus,Pinyon Jay,3.7,7,2,111,152.14,37,35.34,110.6,Male
123,5652,Cyanocitta cristata,Blue Jay,4.18,5.9,2,72.8,124.34,34.5,25.5,120,Male
123,5653,Cyanocitta stelleri,Steller's Jay,3.06,8.1,2,96,149,46,31,139,Male
123,5654,Aphelocoma insularis,Santa Cruz Jay,3.71,7.1,NA,124.7,139.2,46.1,23.5,157.2,Male
123,5655,Aphelocoma californica,Scrub Jay,4.05,6.1,NA,98.4,123,40.7,19.5,137.3,Male
123,5656,Aphelocoma coerulescens,Florida Jay,3.27,5.8,2,79.3,113.8,37.4,26.9,139.4,Male
123,5657,Aphelocoma ultramarina,Mexican Jay,4.14,7.9,2,131.5,166.5,42.14,NA,145.7,Male
