Family,Species_number,Species_name,English_name,M_mass,M_mass_N,F_mass,F_mass_N,unsexed_mass,unsexed_mass_N,M_wing,M_wing_N,F_wing,F_wing_N,Unsexed_wing,Unsexed_wing_N,M_tarsus,M_tarsus_N,F_tarsus,F_tarsus_N,Unsexed_tarsus,Unsexed_tarsus_N,M_bill,M_bill_N,F_bill,F_bill_N,Unsexed_bill,Unsexed_bill_N,M_tail,M_tail_N,F_tail,F_tail_N,Unsexed_tail,Unsexed_tail_N,Clutch_size,Egg_mass,Mating_System
71,2945,Pterocles namaqua,Namaqua Sandgrouse,180,NA,172,NA,NA,NA,173,NA,167,NA,NA,NA,22.6,NA,21.8,NA,NA,NA,11.9,NA,12.2,NA,NA,NA,112.5,10,95.6,10,NA,NA,2.9,12.5,NA
71,2946,Pterocles exustus,Chestnut-bellied Sandgrouse,200,1,181.7,3,NA,NA,182,15,175,11,NA,NA,23,14,21.8,8,NA,NA,11.9,14,11.5,11,NA,NA,124,15,99.8,18,NA,NA,2.5,13,NA
71,2947,Pterocles senegallus,Spotted Sandgrouse,280,1,255,1,NA,NA,206,5,196,6,NA,NA,22.67,3,21.33,3,NA,NA,12,6,11.7,9,NA,NA,132,5,109,9,NA,NA,2.74,18,NA
71,2948,Pterocles gutturalis,Yellow-throated Sandgrouse,342,NA,336,NA,NA,NA,217,NA,213,NA,NA,NA,29.9,NA,29.2,NA,NA,NA,14.6,NA,14.9,NA,NA,NA,88.1,10,81.1,10,NA,NA,3,30,NA
71,2949,Pterocles orientalis,Black-bellied Sandgrouse,428,NA,383,NA,NA,NA,237,NA,228,NA,NA,NA,30.3,NA,31,NA,NA,NA,13.4,NA,13.4,NA,NA,NA,94.4,8,91.3,3,NA,NA,2.76,28,NA
71,2950,Pterocles coronatus,Crowned Sandgrouse,NA,NA,NA,NA,300,NA,199,NA,189,NA,NA,NA,23,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,24,79.5,1,NA,NA,2.5,17,NA
71,2951,Pterocles personatus,Madagascar Sandgrouse,NA,NA,NA,NA,NA,NA,178.5,NA,180,NA,NA,NA,25.5,NA,24,NA,NA,NA,14,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
71,2952,Pterocles decoratus,Black-faced Sandgrouse,187,NA,178,NA,NA,NA,164.5,NA,164.5,NA,NA,NA,25,NA,25,NA,NA,NA,14,NA,14,NA,NA,NA,NA,NA,NA,NA,67.5,NA,2.5,14,NA
71,2953,Pterocles bicinctus,Double-banded Sandgrouse,234,NA,239,NA,NA,NA,181,NA,177,NA,NA,NA,23.5,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.6,10,79.1,10,NA,NA,2.6,14,NA
71,2954,Pterocles quadricinctus,Four-banded Sandgrouse,NA,NA,NA,NA,NA,NA,178.5,NA,180,NA,NA,NA,25.5,NA,24,NA,NA,NA,14,NA,14,NA,NA,NA,77.5,NA,NA,NA,NA,NA,2.7,NA,NA
71,2955,Pterocles indicus,Painted Sandgrouse,NA,NA,NA,NA,198.5,NA,173,NA,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA
71,2956,Pterocles lichtensteinii,Lichtenstein's Sandgrouse,247.5,2,NA,NA,NA,NA,191,5,180.67,3,NA,NA,27,3,25,2,NA,NA,14.9,7,14.03,3,NA,NA,75.7,7,70,3,NA,NA,2.5,16,NA
71,2957,Pterocles burchelli,Burchell's Sandgrouse,192,NA,171,NA,NA,NA,169,NA,167,NA,NA,NA,27.3,NA,26.7,NA,NA,NA,11.8,NA,10.9,NA,NA,NA,70.8,10,66.7,10,NA,NA,3,14,NA
72,2958,Attagis gayi,Rufous-bellied Seedsnipe,311,NA,NA,NA,311,NA,191,NA,191.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,NA,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
72,2960,Thinocorus orbignyianus,Grey-breasted Seedsnipe,134,NA,125,NA,NA,NA,139.9,NA,135.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,2
72,2961,Thinocorus rumicivorus,Least Seedsnipe,49,NA,60,NA,NA,NA,114,NA,115.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
73,2962,Pedionomus torquatus,Plains-wanderer,54,NA,72.4,NA,NA,NA,88.9,NA,96.5,NA,NA,NA,25.1,NA,25.9,NA,NA,NA,12.3,NA,12.8,NA,NA,NA,29.6,7,31.8,22,NA,NA,3.6,10,1
74,2963,Scolopax rusticola,Eurasian Woodcock,306,NA,313,NA,NA,NA,202,NA,200,NA,NA,NA,36.2,NA,37.1,NA,NA,NA,70.9,NA,73.5,NA,NA,NA,84,17,83,11,NA,NA,3.84,24.5,NA
74,2968,Scolopax minor,American Woodcock,168.4,NA,210.5,NA,NA,NA,128,NA,142,NA,NA,NA,32.9,NA,36.2,NA,NA,NA,63.9,NA,71.5,NA,NA,NA,62.9,66,65,74,NA,NA,3.9,17,5
74,2969,Gallinago solitaria,Solitary Snipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2970,Gallinago hardwickii,Latham's Snipe,145.5,NA,160.4,NA,NA,NA,157.4,NA,161.5,NA,NA,NA,34.6,NA,35.5,NA,NA,NA,67.7,NA,70.7,NA,NA,NA,66.1,10,64.5,15,NA,NA,NA,NA,NA
74,2971,Gallinago nemoricola,Wood Snipe,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2972,Gallinago stenura,Pintail Snipe,101,NA,132,NA,NA,NA,132,NA,132,NA,NA,NA,32.2,NA,33.3,NA,NA,NA,60.1,NA,63.7,NA,NA,NA,48.3,24,48,37,NA,NA,4,NA,NA
74,2973,Gallinago megala,Swinhoe's Snipe,NA,NA,NA,NA,NA,NA,139.2,NA,141.9,NA,NA,NA,33.5,NA,34.7,NA,NA,NA,61.8,NA,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2974,Gallinago media,Great Snipe,155,NA,175,NA,NA,NA,144,NA,146,NA,NA,NA,35.7,NA,37.3,NA,NA,NA,61.2,NA,64.7,NA,NA,NA,54.4,11,52.9,10,NA,NA,4,23.2,NA
74,2975,Gallinago gallinago,Common Snipe,111,NA,128,NA,NA,NA,134,NA,134,NA,NA,NA,32.4,NA,32.8,NA,NA,NA,66.6,NA,68.5,NA,NA,NA,58,16,58,13,NA,NA,3.89,16.5,NA
74,2976,Gallinago nigripennis,African Snipe,NA,NA,NA,NA,NA,NA,130,NA,132,NA,NA,NA,35.6,NA,36.8,NA,NA,NA,70.7,NA,77.5,NA,NA,NA,NA,NA,NA,NA,56.6,22,2.5,NA,NA
74,2978,Gallinago paraguaiae,South American Snipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,NA,28.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2979,Gallinago andina,Puna Snipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,NA,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2980,Gallinago nobilis,Noble Snipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,NA,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2983,Gallinago stricklandii,Fuegian Snipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2985,Lymnocryptes minimus,Jack Snipe,53.7,NA,46.7,NA,NA,NA,114,NA,110,NA,NA,NA,23.8,NA,24,NA,NA,NA,40.3,NA,40.1,NA,NA,NA,46.8,40,48.7,29,NA,NA,4,NA,NA
74,2986,Coenocorypha pusilla,Chatham Islands Snipe,75.9,NA,85.4,NA,NA,NA,99.9,NA,100.5,NA,NA,NA,22.5,NA,22.9,NA,NA,NA,43.6,NA,44.4,NA,NA,NA,34.9,35,33.7,34,NA,NA,2.06,16.1,2
74,2987,Coenocorypha aucklandica,Subantarctic Snipe,101.2,NA,116.1,NA,NA,NA,106.2,NA,109.2,NA,107,NA,25.3,NA,25.8,NA,NA,NA,57.5,NA,60.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,23.7,3
74,2988,Limosa limosa,Black-tailed Godwit,264,NA,315,NA,NA,NA,207,NA,218,NA,NA,NA,72.9,NA,81.2,NA,NA,NA,92.1,NA,107,NA,NA,NA,71.3,4,70.1,7,NA,NA,3.86,39,2
74,2989,Limosa haemastica,Hudsonian Godwit,222,NA,289,NA,NA,NA,209,NA,217.4,NA,NA,NA,52.5,NA,58,NA,NA,NA,74.5,NA,89.5,NA,NA,NA,74.6,24,77.5,16,NA,NA,3.88,37.5,2
74,2990,Limosa lapponica,Bar-tailed Godwit,313,NA,354,NA,NA,NA,210,NA,223,NA,NA,NA,52.3,NA,55.5,NA,NA,NA,80.4,NA,97.7,NA,NA,NA,75,26,76.5,13,NA,NA,3.72,37,2
74,2991,Limosa fedoa,Marbled Godwit,320,NA,421,NA,NA,NA,228.9,NA,239.9,NA,NA,NA,70.4,NA,75.3,NA,NA,NA,96.6,NA,114.6,NA,NA,NA,85.1,11,88,10,NA,NA,3.95,44.5,2
74,2992,Numenius minutus,Little Curlew,162,NA,182,NA,351,NA,183,NA,188,NA,NA,NA,48.9,NA,50.7,NA,NA,NA,41.6,NA,45.3,NA,NA,NA,70.9,15,72,16,NA,NA,NA,NA,NA
74,2993,Numenius borealis,Eskimo Curlew,NA,NA,NA,NA,375,NA,206.3,NA,203.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.7,NA,78.2,NA,NA,NA,3.36,NA,NA
74,2994,Numenius phaeopus,Whimbrel,368,NA,398,NA,NA,NA,242,NA,251,NA,NA,NA,58.3,NA,60.9,NA,NA,NA,78.6,NA,86.9,NA,NA,NA,94,25,89,27,NA,NA,3.7,50,2
74,2995,Numenius tahitiensis,Bristle-thighed Curlew,378,NA,489,NA,NA,NA,230,NA,245,NA,NA,NA,58.2,NA,56.5,NA,NA,NA,82.8,NA,77.2,NA,NA,NA,94,7,97,7,NA,NA,3.85,54.8,NA
74,2996,Numenius tenuirostris,Slender-billed Curlew,NA,NA,NA,NA,NA,NA,251,NA,262,NA,NA,NA,63.4,NA,66.1,NA,NA,NA,72.9,NA,89.9,NA,NA,NA,93.6,15,102,5,NA,NA,NA,NA,NA
74,2997,Numenius arquata,Eurasian Curlew,662,NA,788,NA,NA,NA,292,NA,310,NA,NA,NA,78.5,NA,83,NA,NA,NA,118,NA,137,NA,NA,NA,109,16,113,16,NA,NA,3.83,76,NA
74,2998,Numenius americanus,Long-billed Curlew,640.1,NA,758.6,NA,NA,NA,279.3,NA,291.3,NA,NA,NA,83.2,NA,86.9,NA,NA,NA,145.3,NA,184,NA,NA,NA,117.1,14,121.5,9,NA,NA,3.91,73,NA
74,2999,Numenius madagascariensis,Far Eastern Curlew,697.2,NA,807.9,NA,NA,NA,308.5,NA,310.1,NA,NA,NA,88.2,NA,91.6,NA,NA,NA,158,NA,179.5,NA,NA,NA,110.4,7,114.8,21,NA,NA,NA,NA,NA
74,3000,Bartramia longicauda,Upland Sandpiper,144,2,157,2,NA,NA,166,NA,170,NA,NA,NA,48.5,NA,48.1,NA,NA,NA,28.9,NA,28.8,NA,NA,NA,79.8,13,81,10,NA,NA,3.99,23.5,NA
74,3001,Tringa erythropus,Spotted Redshank,142,NA,161,NA,NA,NA,167,NA,170,NA,NA,NA,55.9,NA,57.9,NA,NA,NA,57.4,NA,59.8,NA,NA,NA,62.7,17,65,23,NA,NA,4,24.5,NA
74,3002,Tringa totanus,Common Redshank,123,NA,135,NA,NA,NA,159,NA,161,NA,NA,NA,49.4,NA,49.7,NA,NA,NA,41.7,NA,42.7,NA,NA,NA,62.7,5,61.6,5,NA,NA,3.92,22.3,NA
74,3003,Tringa stagnatilis,Marsh Sandpiper,67.1,NA,76,NA,NA,NA,139,NA,142,NA,NA,NA,52.2,NA,52.5,NA,NA,NA,39.5,NA,40.4,NA,NA,NA,53.7,6,55.4,11,NA,NA,4,14,NA
74,3004,Tringa nebularia,Common Greenshank,172,NA,175,NA,NA,NA,191,NA,193,NA,NA,NA,60.2,NA,60.8,NA,NA,NA,55.1,NA,57,NA,NA,NA,71.2,13,73.2,28,NA,NA,3.91,30.5,NA
74,3006,Tringa melanoleuca,Greater Yellowlegs,164,NA,176,NA,NA,NA,196,NA,199,NA,NA,NA,62.7,NA,62.6,NA,NA,NA,55.8,NA,56.7,NA,NA,NA,74.1,11,74.1,10,NA,NA,3.7,27.9,2
74,3007,Tringa flavipes,Lesser Yellowlegs,80,NA,83.7,NA,NA,NA,159,NA,163,NA,NA,NA,50.9,NA,52,NA,NA,NA,36,NA,36.5,NA,NA,NA,59.7,18,59.8,13,NA,NA,4,17.4,2
74,3008,Tringa solitaria,Solitary Sandpiper,45.1,NA,52.1,NA,NA,NA,131,NA,136,NA,NA,NA,30.9,NA,31.2,NA,NA,NA,29.2,NA,29.6,NA,NA,NA,53.7,NA,55.4,NA,NA,NA,4,NA,2
74,3009,Tringa ochropus,Green Sandpiper,75,NA,85,NA,NA,NA,144,NA,146,NA,NA,NA,34.6,NA,34.7,NA,NA,NA,34.5,NA,34.6,NA,NA,NA,56.9,12,57.4,11,NA,NA,4,15.5,NA
74,3010,Tringa glareola,Wood Sandpiper,62,NA,73,NA,NA,NA,126,NA,129,NA,NA,NA,37.4,NA,38.7,NA,NA,NA,28.3,NA,29.3,NA,NA,NA,45.3,9,48.5,18,NA,NA,4,13.5,2
74,3011,Tringa cinerea,Terek Sandpiper,69.4,NA,74.8,NA,NA,NA,132,NA,137,NA,NA,NA,28.1,NA,29.3,NA,NA,NA,45.2,NA,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,3012,Tringa hypoleucos,Common Sandpiper,45.5,NA,50,NA,NA,NA,112,NA,112,NA,NA,NA,24.3,NA,24.5,NA,NA,NA,24.6,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA
74,3013,Tringa macularia,Spotted Sandpiper,36.9,NA,48,NA,NA,NA,105,NA,109,NA,NA,NA,23.5,NA,24.1,NA,NA,NA,23.2,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1
74,3014,Tringa brevipes,Grey-tailed Tattler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,3015,Tringa incana,Wandering Tattler,101,NA,116,NA,NA,NA,163,NA,165,NA,NA,NA,33.7,NA,34,NA,NA,NA,38.5,NA,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,3016,Catoptrophorus semipalmatus,Willet,273,NA,301.4,NA,NA,NA,205.2,NA,213.5,NA,NA,NA,64.9,NA,68.3,NA,NA,NA,59.4,NA,64.1,NA,NA,NA,79.4,11,80.9,6,NA,NA,3.89,39.5,NA
74,3019,Arenaria interpres,Ruddy Turnstone,108,NA,113,NA,NA,NA,155,NA,157,NA,NA,NA,25.6,NA,25.7,NA,NA,NA,22.4,NA,22.8,NA,NA,NA,55.7,58,57.1,35,NA,NA,4,17.9,2
74,3020,Arenaria melanocephala,Black Turnstone,113.6,NA,124.2,NA,NA,NA,147,NA,151.9,NA,154.5,NA,NA,NA,NA,NA,NA,NA,22.5,NA,23,NA,NA,NA,61.8,NA,NA,NA,NA,NA,4,17.3,NA
74,3021,Limnodromus griseus,Short-billed Dowitcher,111,NA,116,NA,NA,NA,145,NA,144,NA,NA,NA,34.5,NA,34.5,NA,NA,NA,58.8,NA,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.98,17.5,2
74,3022,Limnodromus scolopaceus,Long-billed Dowitcher,100,NA,109,NA,NA,NA,141,NA,146,NA,NA,NA,37.3,NA,41.1,NA,NA,NA,62.1,NA,72.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,2
74,3023,Limnodromus semipalmatus,Asian Dowitcher,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,350,NA,50.5,NA,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.5,8,64,5,NA,NA,NA,NA,NA
74,3024,Aphriza virgata,Surfbird,186.8,NA,216.3,NA,NA,NA,171.8,NA,178.8,NA,NA,NA,31.3,NA,32.9,NA,NA,NA,24.1,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
74,3025,Calidris tenuirostris,Great Knot,156,NA,174,NA,NA,NA,185,NA,192,NA,NA,NA,35,NA,35.5,NA,NA,NA,42.1,NA,43.8,NA,NA,NA,64.3,16,65.8,22,NA,NA,NA,22,NA
74,3026,Calidris canutus,Red Knot,126,NA,148,NA,NA,NA,169,NA,173,NA,NA,NA,30.5,NA,31.4,NA,NA,NA,32.6,NA,34.4,NA,NA,NA,58.5,8,57,11,NA,NA,3.87,19.3,2
74,3027,Calidris alba,Sanderling,52.8,NA,55.4,NA,NA,NA,125,NA,130,NA,NA,NA,25.5,NA,25.7,NA,NA,NA,25.6,NA,26.4,NA,NA,NA,49.2,28,50.2,26,NA,NA,3.93,11.2,1
74,3028,Calidris pusilla,Semipalmated Sandpiper,25,NA,27,NA,NA,NA,95.9,NA,100.1,NA,NA,NA,21.3,NA,22.1,NA,NA,NA,18.6,NA,20.2,NA,NA,NA,40.6,13,39.3,16,NA,NA,4,6.9,2
74,3029,Calidris mauri,Western Sandpiper,28,NA,31,NA,NA,NA,97.1,NA,101,NA,NA,NA,21.8,NA,23.4,NA,NA,NA,23.1,NA,26.7,NA,NA,NA,41,13,42,20,NA,NA,4,7.5,2
74,3030,Calidris minuta,Little Stint,24,NA,27.1,NA,NA,NA,96.4,NA,99.5,NA,NA,NA,21.2,NA,21.7,NA,NA,NA,18.1,NA,18.5,NA,NA,NA,39.3,23,40.2,19,NA,NA,3.84,6.3,1
74,3031,Calidris ruficollis,Rufous-necked Stint,25.7,NA,26.6,NA,NA,NA,103.5,NA,106.2,NA,NA,NA,19.7,NA,19.9,NA,NA,NA,17.5,NA,18.7,NA,NA,NA,45.5,54,46,54,NA,NA,NA,8.3,2
74,3032,Calidris temminckii,Temminck's Stint,24.3,NA,27.8,NA,NA,NA,98.2,NA,99.3,NA,NA,NA,17.6,NA,17.9,NA,NA,NA,16.9,NA,17.2,NA,NA,NA,46.2,16,47.1,15,NA,NA,3.98,5.8,1
74,3033,Calidris subminuta,Long-toed Stint,29,NA,32,NA,NA,NA,93.1,NA,95,NA,NA,NA,21.8,NA,22,NA,NA,NA,17.8,NA,18.8,NA,NA,NA,37.5,28,38.3,18,NA,NA,NA,7.5,NA
74,3034,Calidris minutilla,Least Sandpiper,20.3,NA,22.2,NA,NA,NA,89.8,NA,91.6,NA,NA,NA,18.6,NA,19.1,NA,NA,NA,18.2,NA,19.5,NA,NA,NA,37.9,12,37.4,14,NA,NA,4,6.4,2
74,3035,Calidris fuscicollis,White-rumped Sandpiper,39.7,NA,45.8,NA,NA,NA,122,NA,125,NA,NA,NA,23.9,NA,24.6,NA,NA,NA,23.2,NA,24.4,NA,NA,NA,51,22,50.9,12,NA,NA,3.98,10.8,4
74,3036,Calidris bairdii,Baird's Sandpiper,39.3,NA,39.7,NA,NA,NA,125,NA,129,NA,NA,NA,22.4,NA,22.9,NA,NA,NA,22.3,NA,23.8,NA,NA,NA,53.3,7,53,2,NA,NA,4,9.6,2
74,3037,Calidris melanotos,Pectoral Sandpiper,97.8,NA,65.1,NA,NA,NA,144,NA,131,NA,NA,NA,28.9,NA,26.8,NA,NA,NA,29.6,NA,27.7,NA,NA,NA,62.4,8,55.3,15,NA,NA,3.95,13.1,5
74,3038,Calidris acuminata,Sharp-tailed Sandpiper,70.3,NA,63.5,NA,NA,NA,140,NA,130,NA,NA,NA,30.9,NA,29.1,NA,NA,NA,26.3,NA,24.7,NA,NA,NA,55.7,29,51.9,44,NA,NA,NA,13.7,4
74,3039,Calidris maritima,Purple Sandpiper,67.6,NA,76.3,NA,NA,NA,127,NA,132,NA,NA,NA,22.3,NA,23.1,NA,NA,NA,27.5,NA,32,NA,NA,NA,56.2,14,58,13,NA,NA,3.87,13.3,2
74,3040,Calidris ptilocnemis,Rock Sandpiper,76.3,NA,83,NA,NA,NA,121.3,NA,125.5,NA,NA,NA,22.8,NA,22.6,NA,NA,NA,26.8,NA,29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,14.2,2
74,3041,Calidris alpina,Dunlin,41,NA,45.1,NA,NA,NA,112,NA,116,NA,NA,NA,22.8,NA,23.4,NA,NA,NA,26.1,NA,29.5,NA,NA,NA,81.2,80,51.7,7,NA,NA,4,10.7,2
74,3042,Calidris ferruginea,Curlew Sandpiper,63.2,NA,63.3,NA,NA,NA,132,NA,133,NA,NA,NA,29.3,NA,31,NA,NA,NA,36.2,NA,40.1,NA,NA,NA,47,9,47.8,11,NA,NA,NA,12,NA
74,3043,Micropalama himantopus,Stilt Sandpiper,55.8,NA,60.4,NA,NA,NA,132,NA,134,NA,NA,NA,40.2,NA,41.5,NA,NA,NA,39.5,NA,41.3,NA,NA,NA,49.4,16,50.1,15,NA,NA,NA,11.2,2
74,3044,Tryngites subruficollis,Buff-breasted Sandpiper,70.5,NA,53,NA,NA,NA,136,NA,129,NA,NA,NA,32.1,NA,29.8,NA,NA,NA,20.1,NA,18.5,NA,NA,NA,58.6,16,54.9,14,NA,NA,4,13,5
74,3045,Eurynorhynchus pygmeus,Spoonbill Sandpiper,31,NA,34.6,NA,NA,NA,104,NA,106.9,NA,NA,NA,21.3,NA,21.8,NA,NA,NA,21.1,NA,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
74,3046,Limicola falcinellus,Broad-billed Sandpiper,NA,NA,NA,NA,37,NA,105,NA,110,NA,NA,NA,21.4,NA,22.6,NA,NA,NA,30.4,NA,33.5,NA,NA,NA,36.7,13,38.1,6,NA,NA,4,9.1,NA
74,3047,Philomachus pugnax,Ruff,199,NA,118,NA,NA,NA,191,NA,158,NA,NA,NA,50.2,NA,42.9,NA,NA,NA,35,NA,30.9,NA,NA,NA,65.9,67,54.3,23,NA,NA,3.72,21,5
74,3048,Steganopus tricolor,Wilson's Phalarope,50.2,NA,68.1,NA,NA,NA,125,NA,136,NA,NA,NA,32.4,NA,34,NA,NA,NA,30.7,NA,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,1
74,3049,Phalaropus lobatus,Red-necked Phalarope,32.4,NA,37.4,NA,NA,NA,108,NA,114,NA,NA,NA,20.4,NA,20.3,NA,NA,NA,21.1,NA,21.4,NA,NA,NA,47.9,13,50.4,21,NA,NA,3.91,6.3,1
74,3050,Phalaropus fulicaria,Red Phalarope,50.8,NA,61,NA,NA,NA,129,NA,137,NA,NA,NA,21.6,NA,21.9,NA,NA,NA,21.6,NA,22.8,NA,NA,NA,61.7,13,66.9,17,NA,NA,3.81,7.5,1
75,3051,Rostratula benghalensis,Greater Painted-snipe,146,NA,159,NA,NA,NA,129.4,NA,139.7,NA,NA,NA,45,NA,47.9,NA,NA,NA,48.9,NA,50.6,NA,NA,NA,50.6,11,52.2,28,NA,NA,3.88,12.4,1
75,3052,Rostratula semicollaris,American Painted-snipe,NA,NA,NA,NA,76.6,NA,103.9,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3,NA,42.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,NA
76,3053,Actophilornis africanus,African Jacana,143.2,NA,260.7,NA,NA,NA,145.8,NA,167.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,5,47,6,NA,NA,4,8.6,NA
76,3055,Microparra capensis,Lesser Jacana,NA,NA,NA,NA,NA,NA,86.8,NA,90.6,NA,NA,NA,34.4,NA,34.8,NA,NA,NA,15.6,NA,16.2,NA,NA,NA,28.4,5,29.2,5,NA,NA,3,4.5,NA
76,3056,Irediparra gallinacea,Comb-crested Jacana,84,NA,143,NA,NA,NA,121.8,NA,141.1,NA,NA,NA,55.1,NA,61.4,NA,NA,NA,25.4,NA,29.2,NA,NA,NA,36.1,7,41.2,10,NA,NA,4,NA,1
76,3057,Hydrophasianus chirurgus,Pheasant-tailed Jacana,126,NA,231,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,NA
76,3058,Metopidius indicus,Bronze-winged Jacana,176.2,NA,282.4,NA,154.6,NA,162,NA,189,NA,NA,NA,70.2,NA,78.7,NA,NA,NA,22.5,NA,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,NA
76,3059,Jacana spinosa,Northern Jacana,86.9,NA,145.4,NA,NA,NA,120.3,NA,135.3,NA,NA,NA,54.6,NA,58.7,NA,NA,NA,17.8,NA,19.3,NA,NA,NA,40.5,NA,45.5,NA,NA,NA,3.91,8.3,1
76,3060,Jacana jacana,Wattled Jacana,108.3,NA,142.8,NA,NA,NA,124.9,NA,137.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,NA,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA
77,3061,Chionis alba,Snowy Sheathbill,735,NA,638,NA,NA,NA,253,NA,242,NA,NA,NA,44,NA,42.9,NA,NA,NA,34.4,NA,32,NA,NA,NA,126,4,124,10,NA,NA,2.38,45.5,2
77,3062,Chionis minor,Black-faced Sheathbill,625,NA,551,NA,NA,NA,240,NA,231,NA,NA,NA,48.4,NA,45.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,9,107,6,NA,NA,2.09,43.1,2
78,3063,Pluvianellus socialis,Magellanic Plover,89.1,NA,79.5,NA,NA,NA,137,NA,137.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,NA,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,NA
79,3064,Burhinus oedicnemus,Eurasian Thick-knee,475,NA,449,NA,NA,NA,241,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,NA,39.3,NA,NA,NA,121,13,118,13,NA,NA,1.9,42,NA
79,3065,Burhinus senegalensis,Senegal Thick-knee,NA,NA,NA,NA,NA,NA,221,NA,221,NA,NA,NA,71.4,NA,70.3,NA,NA,NA,47.2,NA,46.8,NA,NA,NA,114,5,110,12,NA,NA,2,32,NA
79,3066,Burhinus vermiculatus,Water Thick-knee,297,NA,314.3,NA,NA,NA,205,NA,205,NA,NA,NA,64.8,NA,64.8,NA,NA,NA,44,NA,41.3,NA,NA,NA,NA,NA,NA,NA,109,16,2,NA,NA
