Species,wd,MaxD,MaxgrD,MeangrD,Mort
Diclinanona tessmannii,NA,267,0.414828437,0.126517998,NA
Dicorynia guianensis,0.605777778,798.35,1.12048737,0.316741658,0.263548617
Dicymbe altsonii,0.758,967.65,1.085418077,0.353532357,0.438522601
Dicymbe uaiparuensis,NA,251.5,0.52706048,0.203505946,NA
Dicypellium manausense,NA,496,0.632465017,0.189765012,NA
Didymocistus chrysadenius,NA,270.5,0.788751715,0.29641617,NA
Dimorphandra macrostachya,0.6,NA,NA,NA,NA
Dimorphandra parviflora,1,NA,NA,NA,NA
Dinizia excelsa,0.939333333,1650.3,NA,NA,NA
Diospyros artanthifolia,NA,282.7,0.602569822,0.148401398,NA
Diospyros capreifolia,0.73,285.35,0.763898253,0.137672789,NA
Diospyros carbonaria,0.73,315.5,0.296775761,0.07723767,NA
Diospyros cayennensis,0.46,NA,NA,NA,NA
Diospyros dichroa,0.53,NA,NA,NA,NA
Diospyros duckei,NA,209.65,NA,NA,NA
Diospyros guianensis,0.73,365.5,0.45751634,0.232853856,NA
Diospyros poeppigiana,0.6,287.3,0.376676987,0.139997207,NA
Diospyros pseudoxylopia,NA,323.9,NA,NA,NA
Diospyros tetandra,NA,252.4,NA,NA,NA
Diospyros tetrandra,NA,336,NA,NA,NA
Diospyros vestita,NA,388.6,NA,NA,NA
Diploon cuspidatum,0.85,321.6,0.629766041,0.095175454,NA
Diplotropis martiusii,0.633333333,NA,NA,NA,NA
Diplotropis purpurea,0.778666667,505,0.771090664,0.25904304,0.541103749
Dipteryx alata,0.936666667,923.1,NA,NA,NA
Dipteryx ferrea,0.84,NA,NA,NA,NA
Dipteryx magnifica,NA,826.4,0.972309495,0.182995415,NA
Dipteryx micrantha,0.871,1228.55,1.699678788,NA,NA
Dipteryx odorata,0.92275,1023.2,1.099115594,0.232260423,NA
Dipteryx oleifera,0.848333333,NA,NA,NA,NA
Dipteryx polyphylla,0.885666667,NA,NA,NA,NA
Dipteryx punctata,0.92,NA,NA,NA,NA
Discophora guianensis,0.56,304.3,NA,NA,NA
Dodecastigma integrifolium,NA,163.55,0.457264957,0.115417057,NA
Drypetes amazonica,0.67,339.25,0.671651887,0.189245562,1.040641058
Drypetes fanshawei,NA,254.4,0.415895556,0.113646886,0.358850547
Drypetes variabilis,0.736666667,454.5,0.450368982,0.121811333,0.328561662
Duckeodendron cestroides,0.634333333,1058.25,1.334120776,0.229309026,NA
Duckesia verrucosa,0.818,NA,NA,NA,NA
Duguetia calycina,0.37,145.25,0.11005978,0.028555085,NA
Duguetia chrysea,0.845,298.6,0.342513722,0.115186789,NA
Duguetia echinophora,NA,274,0.3367667,0.11095741,NA
Duguetia flagellaris,NA,259.8,0.358344358,0.110918729,NA
Duguetia lepidota,NA,243.6,NA,NA,NA
Duguetia manausensis,NA,202.8,0.240192154,0.045297718,NA
Duguetia marcgraviana,NA,242.65,NA,NA,NA
Duguetia megalocarpa,0.91,283,NA,NA,NA
Duguetia quitarensis,0.8,192,0.525932813,0.127220556,NA
Duguetia spixiana,0.58,216,0.514333245,0.102913898,1.283773454
Duguetia stelechantha,0.849,144.3,0.185235407,0.037601414,NA
Duguetia surinamensis,0.8,288.55,0.39606183,0.09275885,NA
Dulacia guianensis,0.569,NA,NA,NA,NA
Duroia aquatica,0.785,231,0.23427457,0.091486232,NA
Duroia eriopila,0.796,186.3,0.398184064,0.069494578,NA
Duroia fusifera,0.672,NA,NA,NA,NA
Duroia hirsuta,0.77,NA,NA,NA,NA
Duroia longiflora,NA,310.7,0.379907134,0.117446005,NA
Duroia macrophylla,NA,195.6,NA,NA,NA
Duroia micrantha,0.8,NA,NA,NA,NA
Duroia prancei,NA,235.45,NA,NA,NA
Duroia saccifera,NA,162.75,NA,NA,NA
Dussia discolor,0.550333333,NA,NA,NA,NA
Dussia lehmannii,0.59,NA,NA,NA,NA
Dussia macroprophyllata,0.563,NA,NA,NA,NA
Dussia tessmannii,NA,764.7,0.957065225,0.307966871,NA
Ecclinusa guianensis,0.627428571,491.75,0.549574114,0.137134303,0.418952192
Ecclinusa lanceolata,0.58,322.25,0.346700789,0.086160258,NA
Ecclinusa ramiflora,NA,280.8,0.370440097,0.13446812,NA
Elaeoluma glabrescens,NA,365.4,NA,NA,NA
Elizabetha princeps,NA,336.2,NA,NA,NA
Elvasia elvasioides,0.73,180.45,NA,NA,NA
Emmotum fagifolium,0.7265,789,NA,NA,NA
Emmotum floribundum,NA,451,0.71667463,0.3249119,NA
Endlicheria bracteata,NA,217.4,NA,NA,NA
Endlicheria cocuirey,0.4535,NA,NA,NA,NA
Endlicheria formosa,0.421,399.2,1.326801172,0.326867075,NA
Endlicheria multiflora,0.47,NA,NA,NA,NA
Endlicheria paniculata,0.682,NA,NA,NA,NA
Endlicheria ruforamula,NA,346.1,0.766773163,0.267426171,NA
Endlicheria sericea,0.47,241.5,NA,NA,NA
Endlicheria williamsii,0.47,NA,NA,NA,NA
Endopleura uchi,0.771833333,575.2,0.770354584,0.265596006,NA
Enterolobium contortisiliquum,0.41,NA,NA,NA,NA
Enterolobium cyclocarpum,0.39,NA,NA,NA,NA
Enterolobium maximum,0.406666667,NA,NA,NA,NA
Enterolobium schomburgkii,0.7007,842,1.596840383,0.503734834,NA
Eperua bijuga,0.729,398.7,0.644385599,0.15325187,0.137906241
Eperua duckeana,0.791,NA,NA,NA,NA
Eperua falcata,0.718571429,620.4,0.544751784,0.16233656,0.213365057
Eperua glabriflora,0.759,507.8,0.514793003,0.148174069,0.487444894
Eperua grandiflora,0.704,686.9,0.638452396,0.230970772,0.226235776
Eperua leucantha,NA,303.4,0.227655987,0.084573294,0.660940986
Eperua purpurea,NA,726,0.578132971,0.27009744,NA
Eperua rubiginosa,0.745,781.75,0.694087665,0.225900958,0.400669969
Eperua schomburgkiana,NA,401.2,0.4225,0.128878053,NA
Ephedranthus amazonicus,0.816,189.1,0.303381768,0.047593822,NA
Ephedranthus guianensis,NA,224.4,NA,NA,NA
Ephedranthus parviflorus,NA,277,0.502897581,0.140174914,2.190854057
Eriotheca globosa,0.41,513,1.06990492,0.241281935,0.411133774
Eriotheca longipedicellata,0.483333333,NA,NA,NA,NA
Eriotheca longitubulosa,NA,546.2,1.165507788,0.297978944,NA
Eriotheca macrophylla,NA,588,NA,NA,NA
Erisma bicolor,NA,588.95,1.131276704,0.269742333,NA
Erisma calcaratum,0.68,NA,NA,NA,NA
Erisma fuscum,0.56,NA,NA,NA,NA
Erisma uncinatum,0.523083333,876.3,1.648927109,0.432576654,0.501581805
Erythrina edulis,0.22,NA,NA,NA,NA
Erythrina fusca,0.274666667,NA,NA,NA,NA
Erythrina poeppigiana,0.2,NA,NA,NA,NA
Erythrina ulei,0.111,NA,NA,NA,NA
Erythroxylum anguifugum,NA,329.5,NA,NA,NA
Erythroxylum citrifolium,0.71,210,NA,NA,NA
Erythroxylum macrophyllum,0.71,236,0.574712644,0.190944355,NA
Erythroxylum squamatum,0.71,NA,NA,NA,NA
Eschweilera alata,0.964,NA,NA,NA,NA
Eschweilera albiflora,0.86,393.65,0.891600188,0.176258997,NA
Eschweilera amazonica,0.9,360,0.3,0.118514754,NA
Eschweilera amazoniciformis,0.823,495.9,0.302675865,0.11040316,NA
Eschweilera andina,NA,388.8,NA,NA,NA
Eschweilera apiculata,NA,507,NA,NA,NA
Eschweilera atropetiolata,0.753,599.1,0.491359669,0.11422494,0.512925135
Eschweilera bracteosa,NA,307.6,0.560778492,0.147280801,0.56636299
Eschweilera carinata,0.782,NA,NA,NA,NA
Eschweilera chartaceifolia,NA,273.25,0.282376325,0.081030621,NA
Eschweilera collina,0.7785,444.7,0.430501776,0.117331854,0.419033273
Eschweilera congestiflora,0.86,430.6,0.367704056,0.108274412,NA
Eschweilera coriacea,0.852083333,468,0.696987147,0.17533809,0.298861359
Eschweilera cyathiformis,NA,662.9,0.693552716,0.174262116,0.355800973
Eschweilera decolorans,NA,447.2,0.478484945,0.119761703,0.239335151
Eschweilera gigantea,0.78,556.5,0.805567321,0.199570712,NA
Eschweilera grandiflora,0.876,387.45,0.5,0.127031724,0.354551295
Eschweilera itayensis,NA,506.75,0.613616513,0.161266843,NA
Eschweilera juruensis,0.96,NA,NA,NA,NA
Eschweilera laevicarpa,NA,416.75,NA,NA,NA
Eschweilera micrantha,0.86,498.95,0.465321851,0.124398084,0.280352939
Eschweilera ovalifolia,NA,362.8,NA,NA,NA
Eschweilera ovata,0.9,381.3,0.571035432,0.179512665,NA
Eschweilera parviflora,0.918,472.25,0.398089575,0.112072705,NA
Eschweilera parvifolia,0.86,334.4,0.459379552,0.114082532,NA
Eschweilera pedicellata,0.908666667,401.95,0.329654991,0.104905107,0.067953031
Eschweilera pittieri,0.86,NA,NA,NA,NA
Eschweilera pseudodecolorans,NA,637.6,0.518606606,0.144411833,0.338147276
Eschweilera punctata,NA,309.5,0.426969328,0.163765583,NA
Eschweilera rankiniae,NA,512.7,0.438597545,0.094001467,NA
Eschweilera rodriguesiana,0.762,NA,NA,NA,NA
Eschweilera romeu-cardosoi,NA,338.1,0.510076939,0.122497329,0.505271052
Eschweilera rufifolia,NA,294.3,0.41184955,0.100973634,NA
Eschweilera sagotiana,0.8,505.55,0.485436893,0.128347028,0.142465444
Eschweilera simiorum,0.86,223.45,0.236053586,0.051365805,NA
Eschweilera subglandulosa,0.857,435.8,0.556168791,0.148607325,NA
Eschweilera tenuifolia,0.77,NA,NA,NA,NA
Eschweilera tessmannii,0.789,368.75,0.579483164,0.155698413,0.649045993
Eschweilera truncata,NA,373.25,0.426286639,0.108555444,0.470738195
Eschweilera wachenheimii,0.8055,315.7,0.407869488,0.090287589,0.417637596
Esenbeckia amazonica,NA,211.1,NA,NA,NA
Etaballia dubia,0.92,NA,NA,NA,NA
Eugenia anastomosans,0.77,NA,NA,NA,NA
Eugenia biflora,0.8,NA,NA,NA,NA
Eugenia citrifolia,0.664,289.2,0.2638751,0.077086019,NA
Eugenia coffeifolia,0.757,201.4,0.295328001,0.050791477,NA
Eugenia discreta,NA,220,NA,NA,NA
Eugenia feijoi,0.789,198.2,0.674608539,0.149428352,NA
Eugenia florida,0.587,204,0.596835225,0.166899759,NA
Eugenia lambertiana,NA,241.55,0.50532933,0.106962306,NA
Eugenia patrisii,0.8305,228.6,0.650373932,0.121877582,NA
Eugenia pseudopsidium,0.8685,211.9,0.272070174,0.065283701,NA
Eugenia tetramera,NA,293.25,0.202968413,0.069603884,NA
Eugenia venezuelensis,0.82,NA,NA,NA,NA
Eugenia wullschlaegeliana,0.792,NA,NA,NA,NA
Euphronia hirtelloides,0.62,NA,NA,NA,NA
Euplassa pinnata,0.52,NA,NA,NA,NA
Euterpe catinga,NA,180,NA,NA,NA
Euterpe oleracea,NA,185,NA,NA,3.092819477
Euterpe precatoria,0.387666667,182,NA,NA,2.928408383
Euxylophora paraensis,0.656,NA,NA,NA,NA
Faramea occidentalis,0.584,NA,NA,NA,NA
Ferdinandusa chlorantha,NA,236.6,NA,NA,NA
Ferdinandusa elliptica,0.65,NA,NA,NA,NA
Ferdinandusa rudgeoides,0.8,379.8,NA,NA,NA
Ficus americana,0.4,1113.05,NA,NA,NA
Ficus citrifolia,0.4,NA,NA,NA,NA
Ficus coerulescens,0.365,1164.9,3.575330066,1.109048334,NA
Ficus eximia,0.39,NA,NA,NA,NA
Ficus gomelleira,NA,1630.9,5.292764228,1.853469913,NA
Ficus hartwegii,0.39,NA,NA,NA,NA
Ficus insipida,0.376555556,1448,2.363896848,0.780206743,NA
Ficus maxima,0.3605,672.5,2.316227316,0.650477968,NA
Ficus nymphaeifolia,0.415,NA,NA,NA,NA
Ficus pertusa,0.42,NA,NA,NA,NA
Ficus trigona,NA,1845,NA,NA,NA
Ficus trigonata,0.43,NA,NA,NA,NA
Fissicalyx fendleri,NA,357,0.645041058,0.23469625,NA
Fusaea longifolia,0.742666667,239.15,0.44955045,0.094226948,0.946418204
Galipea trifoliata,NA,234.8,0.549163418,0.144634596,NA
Gallesia integrifolia,0.48,1460.6,2.180622433,0.495816582,NA
Garcinia gardneriana,NA,373,NA,NA,NA
Garcinia macrophylla,0.67,318.7,0.730386601,0.205966529,NA
Garcinia madruno,0.726666667,308.7,0.640886573,0.156313456,0.713296897
Gavarretia terminalis,0.65,NA,NA,NA,NA
Geissospermum argenteum,NA,629.4,0.650203897,0.115339823,0.144681306
Geissospermum reticulatum,NA,601,0.494310284,0.112581318,NA
Geissospermum sericeum,0.782333333,602.75,0.443382393,0.142061219,0.114282674
Geissospermum urceolatum,NA,507.4,0.480384307,0.151957391,NA
Genipa americana,0.6404,421.9,2.4,0.810114731,NA
Geoffroea spinosa,0.75,210,1.07,0.425,NA
Gliricidia sepium,0.628333333,323,1.181898067,0.291188585,NA
Glycydendron amazonicum,0.68075,542.3,0.890933216,0.193453948,0.412759612
Godmania aesculifolia,0.52,NA,NA,NA,NA
Goethalsia meiantha,0.3494,NA,NA,NA,NA
Goupia glabra,0.7271875,849.85,1.154935996,0.296833517,0.285593145
Grias neuberthii,0.62,275.55,0.429857238,0.072740899,NA
Grias peruviana,0.62,NA,NA,NA,NA
Guapira cuspidata,0.492333333,NA,NA,NA,NA
Guarea carinata,NA,357.25,0.274463424,0.076897963,NA
Guarea convergens,NA,370.95,0.57265442,0.129338072,NA
Guarea glabra,0.503,388.8,0.468579017,0.119010294,NA
Guarea gomma,0.65,412.5,0.68938834,0.17291954,NA
Guarea guidonia,0.543444444,526.4,0.995110345,0.246180482,2.033644745
Guarea humaitensis,0.7645,214.8,0.228545778,0.051403187,NA
Guarea kunthiana,0.5754,412,0.795759911,0.209891131,1.364713808
Guarea macrophylla,0.645,270,0.689496828,0.147337215,1.14750161
Guarea pterorhachis,0.77,242.05,0.638851751,0.17707135,1.223704345
Guarea pubescens,0.5305,262.5,0.452377399,0.133063064,NA
Guarea purusana,0.77,444.75,0.793558707,0.259763026,NA
Guarea scabra,0.74,237,NA,NA,NA
Guarea silvatica,NA,438.8,0.427350427,0.128718013,1.694431352
Guarea trunciflora,NA,229.2,0.600015105,NA,NA
Guatteria acutissima,0.45,782.35,2.269364533,0.474378682,NA
Guatteria amplifolia,0.511,NA,NA,NA,NA
Guatteria cargadero,0.52,NA,NA,NA,NA
Guatteria decurrens,0.52,NA,NA,NA,NA
Guatteria elata,NA,392.5,1.595280083,0.602897611,NA
Guatteria guentheri,NA,425.25,NA,NA,NA
Guatteria guianensis,NA,179.2,NA,NA,NA
Guatteria hirsuta,NA,515.35,1.595930638,0.685572874,NA
Guatteria megalophylla,NA,193.7,0.499379399,0.111622379,NA
Guatteria olivacea,0.455666667,318.9,1.41089816,0.388191644,2.316049406
Guatteria poeppigiana,NA,370.25,1.031144398,0.331443931,NA
Guatteria procera,0.65,NA,NA,NA,NA
Guatteria pteropus,NA,422.6,1.886321158,0.633818189,NA
Guatteria punctata,NA,297.4,NA,NA,NA
Guatteria puncticulata,0.54,NA,NA,NA,NA
Guatteria schomburgkiana,0.6,430.8,1.010107721,0.431644421,NA
Guatteria scytophylla,0.515,409.5,1.509018401,0.632494496,NA
Guazuma crinita,0.44,530.2,NA,NA,NA
Guazuma ulmifolia,0.484666667,402.2,1.46469362,0.397114972,2.482150062
Gustavia acuminata,NA,221.45,NA,NA,NA
Gustavia augusta,0.65,238.4,0.205338526,0.073548022,NA
Gustavia elliptica,0.669,236.2,0.249898154,0.065301375,NA
Gustavia gigantophylla,NA,286.2,NA,NA,NA
Gustavia hexapetala,0.716,233,0.274488999,0.075354228,0.379391693
Gustavia longifolia,0.67,225.95,0.354875642,0.078090074,NA
Gustavia macarenensis,0.67,NA,NA,NA,NA
Gustavia pulchra,NA,260.85,NA,NA,NA
Gustavia speciosa,0.515,NA,NA,NA,NA
Gustavia superba,0.58,NA,NA,NA,NA
Gymnanthes lucida,1.1,NA,NA,NA,NA
Gyrocarpus americanus,0.237,NA,NA,NA,NA
Haploclathra cordata,NA,362.5,0.334448161,0.160193804,NA
Haploclathra paniculata,0.82,NA,NA,NA,NA
Hasseltia floribunda,0.53,327.3,0.95104447,0.304786163,NA
Haydenia urbaniana,NA,195.15,0.471107208,0.156166253,NA
Hebepetalum humiriifolium,0.8705,369.75,0.662046527,0.214107169,0.35222482
Heisteria acuminata,NA,299.2,0.48838167,0.15689937,NA
Heisteria barbata,NA,273.6,0.328130465,NA,NA
Heisteria cauliflora,0.73,NA,NA,NA,NA
Heisteria concinna,0.64,NA,NA,NA,NA
Heisteria densifrons,0.65,243,NA,NA,NA
Heisteria laxiflora,NA,319,0.278422274,0.072412923,NA
Heisteria nitida,NA,449.5,0.88996002,0.220934388,NA
Heisteria ovata,0.54,416.75,0.649361941,0.159876819,NA
Heisteria spruceana,0.73,NA,NA,NA,NA
Helianthostylis sprucei,0.6275,170.05,0.325395446,0.052362766,NA
Helicostylis elegans,0.65,NA,NA,NA,NA
Helicostylis pedunculata,0.675,381.7,0.697050118,0.149310145,NA
Helicostylis scabra,0.735,500.8,0.832036443,0.269774951,NA
Helicostylis tomentosa,0.6265,375.5,0.593783313,0.172178876,0.751554963
Heliocarpus americanus,0.195,NA,NA,NA,NA
Henriettella caudata,0.5,NA,NA,NA,NA
Henriettella flavescens,NA,159,0.332383666,0.08531457,NA
Heterostemon conjugatus,NA,246.75,0.230908791,0.072717483,NA
Heterostemon mimosoides,0.6,NA,NA,NA,NA
Hevea benthamiana,NA,299.4,0.232953579,0.128916866,NA
Hevea brasiliensis,0.441083334,589.5,1.187335092,0.443012224,0.513615669
Hevea guianensis,0.571,463.6,0.642378427,0.152997498,0.343889697
Hevea nitida,0.54,341.6,NA,NA,NA
Hevea pauciflora,0.46,356,NA,NA,NA
Hieronyma alchorneoides,NA,697.9,1.033891146,0.402358476,NA
Hieronyma oblonga,NA,483.7,0.885242449,0.260272989,NA
Himatanthus articulatus,0.53625,388.4,NA,NA,NA
Himatanthus attenuatus,0.48,NA,NA,NA,NA
Himatanthus bracteatus,0.53,NA,NA,NA,NA
Himatanthus sucuuba,0.462,403.9,0.889947489,0.275688354,NA
Hippotis albiflora,NA,278.5,1.014276966,NA,NA
Hirtella bicornis,0.9,335.5,0.441519798,0.137538669,0.730057696
Hirtella bullata,0.49,NA,NA,NA,NA
Hirtella davisii,0.804,NA,NA,NA,NA
Hirtella excelsa,NA,390.2,0.662184438,0.209645014,NA
Hirtella glandulosa,0.92,449.05,0.424189762,0.150160474,NA
Hirtella gracilipes,NA,323,NA,NA,NA
Hirtella hispidula,NA,196,NA,NA,NA
Hirtella lightioides,NA,510,0.696333333,0.175743059,NA
Hirtella pilosissima,0.88,NA,NA,NA,NA
Hirtella piresii,NA,200,NA,NA,NA
Hirtella racemosa,0.781666667,265.35,0.462596538,0.132586731,NA
Hirtella rodriguesii,NA,188.5,0.369656187,0.083357544,NA
Hirtella triandra,0.68275,224.8,1.15942029,0.22532227,NA
Hortia longifolia,0.9,NA,NA,NA,NA
Huberodendron patinoi,0.5,NA,NA,NA,NA
Huberodendron swietenioides,0.5635,871.75,NA,NA,NA
Huertea glandulosa,0.4285,625,1.729415735,0.608120647,NA
Humiria balsamifera,0.730615385,765,NA,NA,NA
Humiriastrum colombianum,0.69,NA,NA,NA,NA
Humiriastrum cuspidatum,0.721,NA,NA,NA,NA
Humiriastrum excelsum,0.75,515,NA,NA,NA
Humiriastrum procerum,0.608,NA,NA,NA,NA
Hura crepitans,0.369583333,1233.8,1.399650175,0.371922003,1.08765326
Hydrochorea corymbosa,0.47,469,NA,NA,NA
Hydrochorea gonggrijpii,0.58,NA,NA,NA,NA
Hymenaea courbaril,0.685766667,935.15,1.258797654,0.452768328,NA
Hymenaea intermedia,0.82,NA,NA,NA,NA
Hymenaea oblongifolia,0.736666667,649.4,0.879855414,0.377901899,NA
Hymenaea parvifolia,0.8774,779.6,1.208226221,0.267413259,NA
Hymenaea reticulata,NA,242,NA,NA,NA
Hymenolobium excelsum,0.52,NA,NA,NA,NA
Hymenolobium flavum,0.68725,NA,NA,NA,NA
Hymenolobium heterocarpum,NA,402.4,NA,NA,NA
Hymenolobium modestum,0.6705,NA,NA,NA,NA
Hymenolobium nitidum,0.55,472.3,0.972126502,0.343884647,NA
Hymenolobium petraeum,0.7125,705.2,NA,NA,NA
Hymenolobium pulcherrimum,0.635,NA,NA,NA,NA
Ilex martiniana,0.542,NA,NA,NA,NA
Ilex nayana,NA,266,0.376087434,0.155730195,NA
Inga acreana,NA,519.75,1.314187675,0.456427451,NA
Inga acrocephala,0.5125,325.9,1.52474467,0.425058513,NA
Inga acuminata,NA,250,NA,NA,NA
Inga alba,0.586111111,663.1,2.189386118,0.613911698,1.979562945
Inga auristellae,NA,282,1.215379009,0.323484212,NA
Inga bourgonii,0.545,336,2.032404598,0.518403854,NA
Inga brachyrhachis,NA,320.15,NA,NA,NA
Inga capitata,0.592333333,368,1.152443198,0.312982185,1.720600241
Inga cayennensis,0.53,250.5,0.743945179,0.190676374,NA
Inga chartacea,0.512333333,413.5,1.996634691,0.580123752,NA
Inga cinnamomea,0.528,350.15,0.824320528,0.236367954,NA
Inga cordatoalata,NA,312.3,NA,NA,NA
Inga coruscans,0.72,448.15,1.729069573,0.476228776,NA
Inga cylindrica,NA,587.3,1.775515471,0.591779448,NA
Inga graciliflora,0.5335,NA,NA,NA,NA
Inga gracilifolia,NA,460.5,0.59478673,0.182770604,NA
Inga heterophylla,0.56,313.25,1.055915527,0.348585308,NA
Inga huberi,0.53,500.2,1.126765004,0.275414983,NA
Inga ingoides,0.495,297.3,NA,NA,NA
Inga lateriflora,0.562333333,343.8,NA,NA,NA
Inga laurina,0.62,476.6,1.772141736,0.538842689,NA
Inga leiocalycina,0.56,600,1.153189078,0.338003403,NA
Inga macrophylla,NA,312.65,NA,NA,NA
Inga marginata,0.5518,337.8,1.686043595,0.444838762,NA
Inga melinonis,0.54,NA,NA,NA,NA
Inga micradenia,NA,397.4,NA,NA,NA
Inga multinervis,NA,447.35,1.313305766,0.465160376,NA
Inga neblinensis,NA,281.2,NA,NA,NA
Inga nobilis,0.56,333.75,0.771971496,0.281847775,NA
Inga oerstediana,0.425,475.4,NA,NA,NA
Inga paraensis,0.82,385.4,1.212393114,0.417044029,1.286591379
Inga pezizifera,0.6065,432.7,1.95573945,0.551234127,NA
Inga psittacorum,NA,238.15,NA,NA,NA
Inga punctata,0.56,477.6,1.461259772,0.459411703,NA
Inga rubiginosa,0.662333333,361.35,1.310206118,0.387251501,1.331714656
Inga ruiziana,NA,349.6,1.591950543,0.408415505,NA
Inga sapindoides,NA,282.7,NA,NA,NA
Inga semialata,0.6,390.9,1.800059799,0.552585473,NA
Inga sertulifera,0.65,395,1.68252889,0.422966581,NA
Inga spectabilis,NA,544.7,NA,NA,NA
Inga splendens,0.6,357,3.234411022,0.813452235,NA
Inga stenoptera,NA,292.15,NA,NA,NA
Inga stipularis,0.53,307.65,0.900015453,0.27337328,NA
Inga tenuistipula,NA,333.3,0.919861314,0.300959575,NA
Inga thibaudiana,NA,290.45,1.654704826,0.515925617,3.411581093
Inga umbellifera,0.724,304.5,0.882481473,0.268461418,NA
Inga umbratica,NA,201.6,0.465918058,0.152141831,NA
Inga vera,0.575,NA,NA,NA,NA
Inga ynga,NA,372.6,2.714374293,0.762768986,4.318847868
Iriartea deltoidea,0.267,310,NA,NA,1.264852036
Iryanthera crassifolia,NA,176,0.258743676,0.050916898,NA
Iryanthera elliptica,NA,335.4,0.670983025,0.216528591,NA
Iryanthera grandis,0.63,NA,NA,NA,NA
Iryanthera hostmannii,0.575,225,0.307818588,0.075851138,0.258054653
Iryanthera juruensis,0.633333333,285,0.59336518,0.132273592,1.010796338
Iryanthera laevis,0.615,326.55,0.721199963,0.186799765,1.233480027
Iryanthera lancifolia,0.504,364.6,0.623120847,0.166569526,NA
Iryanthera macrophylla,NA,254.6,0.336778857,0.071166364,NA
Iryanthera obovata,NA,355,NA,NA,NA
Iryanthera olacoides,NA,297.05,0.837563452,0.255995357,NA
Iryanthera paradoxa,NA,331.5,NA,NA,NA
Iryanthera paraensis,0.65,244.2,0.476321174,0.114730035,1.075988487
Iryanthera polyneura,NA,252.1,0.235745149,0.08384344,NA
Iryanthera sagotiana,0.572,364,0.464330941,0.142359537,0.226290325
Iryanthera tricornis,0.673333333,357.8,0.441434464,0.153565777,NA
Iryanthera ulei,0.6185,420,0.340110846,0.08334762,NA
Isertia coccinea,0.52,NA,NA,NA,NA
Isertia hypoleuca,0.52,NA,NA,NA,NA
Isertia laevis,0.52,NA,NA,NA,NA
Jacaranda copaia,0.350666667,567,1.406187224,0.427759622,1.064617636
Jacaranda macrocarpa,NA,169.1,NA,NA,NA
Jacaranda obtusifolia,0.48275,412.1,NA,NA,NA
Jacaratia digitata,0.265,554.8,3.515806773,0.882866219,3.130021985
Jacaratia spinosa,NA,601,1.947546435,0.617737427,NA
Klarobelia lucida,NA,205.45,NA,NA,NA
Lacistema aggregatum,0.5055,256.8,0.671154905,0.171314166,2.536312829
Lacistema grandifolium,0.517,NA,NA,NA,NA
Lacmellea aculeata,NA,190.1,0.269218667,0.090789337,NA
Lacmellea arborescens,NA,253.4,0.432374004,0.106137752,NA
Lacmellea floribunda,0.49,244.5,NA,NA,NA
Lacmellea lactescens,0.6,NA,NA,NA,NA
Lacmellea panamensis,0.4715,NA,NA,NA,NA
Lacmellea ramosissima,NA,237.5,NA,NA,NA
Lacunaria crenata,0.8065,229.7,0.323063288,0.080825125,NA
Lacunaria jenmanii,NA,255.5,0.374729923,0.124177729,NA
Ladenbergia amazonensis,NA,499,0.680094787,0.339524354,NA
Laetia corymbulosa,0.59,NA,NA,NA,NA
Laetia procera,0.6481,593.7,1.137628631,0.305809326,0.555831242
Laetia suaveolens,0.64,NA,NA,NA,NA
Lafoensia punicifolia,0.705,NA,NA,NA,NA
Lecointea amazonica,0.893333333,556,0.999625315,0.34190422,NA
Lecythis barnebyi,NA,473.3,0.544673609,0.091911703,NA
Lecythis chartacea,0.819,715.2,0.709953363,0.185141649,NA
Lecythis confertiflora,0.792,465,0.43109255,0.120342735,0.356311768
Lecythis corrugata,0.777,379.65,0.448765894,0.145369334,NA
Lecythis gracieana,0.826,NA,NA,NA,NA
Lecythis holcogyne,0.776,NA,NA,NA,NA
Lecythis idatimon,0.798571429,374.8,0.378256633,0.12460113,0.409428128
Lecythis lurida,0.83,547.6,0.28125,0.113359989,NA
Lecythis parvifructa,0.741,NA,NA,NA,NA
Lecythis persistens,0.86,266.6,0.337973012,0.086399742,0.106466425
Lecythis pisonis,0.8524,903.5,0.68127729,0.275426706,NA
Lecythis poiteaui,0.802,496.45,0.393626003,0.085200941,0.081598001
Lecythis prancei,0.875,537,0.433881401,0.094244604,0.307343649
Lecythis retusa,NA,224.8,NA,NA,NA
Lecythis zabucajo,0.849666667,931.8,0.883641182,0.178388487,NA
Leonia crassa,0.65,195.35,0.208902635,0.047448643,NA
Leonia cymosa,0.65,NA,NA,NA,NA
Leonia glycycarpa,0.6,298,0.514429124,0.122216089,0.92871555
Leonia racemosa,NA,237.5,0.44929776,0.126866377,NA
Leopoldinia piassaba,NA,528.95,NA,NA,NA
Leopoldinia pulchra,0.48,541,NA,NA,NA
Leptolobium nitens,NA,380.35,NA,NA,NA
Licania alba,0.8874,429.8,0.359814822,0.121338662,0.172843175
Licania apetala,0.7634,336,0.477681279,0.140751221,1.163038337
Licania arborea,0.62,NA,NA,NA,NA
Licania blackii,NA,343.8,0.428032335,0.154338525,NA
Licania bracteata,NA,399.6,0.49062277,0.11996708,NA
Licania brittoniana,0.6735,717.7,1.378930232,0.32283954,NA
Licania buxifolia,NA,327.75,0.330323717,0.127708524,0.189764681
Licania canescens,0.88,383.75,0.368053,0.088987659,0.123157917
Licania caudata,NA,525.3,0.424108742,0.141743867,NA
